# time = 100
# Grid points = 536
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_uvel             4_vvel             5_wvel
  -9.9843986800e-01  -1.0000000000e+00   2.8968316318e-01  -1.8540711528e-03  -1.8540711528e-03
  -9.9531960400e-01  -9.9687973600e-01   8.5591988992e-01  -5.7435978419e-03  -5.7435978419e-03
  -9.9190651318e-01  -9.9375947200e-01   1.4715113332e+00  -1.0756023245e-02  -1.0756023245e-02
  -9.8816834269e-01  -9.9005355437e-01   2.1446876858e+00  -1.7894338894e-02  -1.7894338894e-02
  -9.8436260479e-01  -9.8628313101e-01   2.8158020708e+00  -2.7509180745e-02  -2.7509180745e-02
  -9.8047676236e-01  -9.8244207856e-01   3.4837945145e+00  -4.0452389628e-02  -4.0452389628e-02
  -9.7648690313e-01  -9.7851144615e-01   4.1510234118e+00  -5.7656676789e-02  -5.7656676789e-02
  -9.7236059523e-01  -9.7446236012e-01   4.8185536239e+00  -8.0142613611e-02  -8.0142613611e-02
  -9.6805723004e-01  -9.7025883033e-01   5.4866204239e+00  -1.0905144131e-01  -1.0905144131e-01
  -9.6352527600e-01  -9.6585562975e-01   6.1550310868e+00  -1.4567217369e-01  -1.4567217369e-01
  -9.5870604941e-01  -9.6119492224e-01   6.8216303048e+00  -1.9130868583e-01  -1.9130868583e-01
  -9.5356415771e-01  -9.5621717659e-01   7.4775540684e+00  -2.4659595008e-01  -2.4659595008e-01
  -9.4951904410e-01  -9.5091113884e-01   7.9566753524e+00  -2.9591933347e-01  -2.9591933347e-01
  -9.4673485463e-01  -9.4812694936e-01   8.2880856348e+00  -3.3382728673e-01  -3.3382728673e-01
  -9.4384437210e-01  -9.4534275989e-01   8.6308511514e+00  -3.7673416447e-01  -3.7673416447e-01
  -9.4084759652e-01  -9.4234598431e-01   8.9725288266e+00  -4.2331542094e-01  -4.2331542094e-01
  -9.3767807034e-01  -9.3934920873e-01   9.3125584829e+00  -4.7353728499e-01  -4.7353728499e-01
  -9.3433579357e-01  -9.3600693195e-01   9.6472384923e+00  -5.2718305810e-01  -5.2718305810e-01
  -9.3074055178e-01  -9.3266465518e-01   9.9832306224e+00  -5.8504671485e-01  -5.8504671485e-01
  -9.2689234498e-01  -9.2881644838e-01   1.0317318045e+01  -6.4668700864e-01  -6.4668700864e-01
  -9.2268584091e-01  -9.2496824158e-01   1.0651609842e+01  -7.1187834361e-01  -7.1187834361e-01
  -9.1812103957e-01  -9.2040344024e-01   1.0985616186e+01  -7.8009043374e-01  -7.8009043374e-01
  -9.1311600287e-01  -9.1583863890e-01   1.1308441206e+01  -8.4764075424e-01  -8.4764075424e-01
  -9.0767073081e-01  -9.1039336684e-01   1.1629028865e+01  -9.1464898752e-01  -9.1464898752e-01
  -9.0323714432e-01  -9.0494809478e-01   1.1882393812e+01  -9.6575105720e-01  -9.6575105720e-01
  -8.9981524338e-01  -9.0152619385e-01   1.2064873763e+01  -1.0008214903e+00  -1.0008214903e+00
  -8.9639334245e-01  -8.9810429292e-01   1.2229178647e+01  -1.0301586602e+00  -1.0301586602e+00
  -8.9297144151e-01  -8.9468239198e-01   1.2374037310e+01  -1.0531294200e+00  -1.0531294200e+00
  -8.8921399937e-01  -8.9126049105e-01   1.2520639577e+01  -1.0722852292e+00  -1.0722852292e+00
  -8.8512101602e-01  -8.8716750770e-01   1.2658404052e+01  -1.0839481558e+00  -1.0839481558e+00
  -8.8102803267e-01  -8.8307452435e-01   1.2764653922e+01  -1.0852598927e+00  -1.0852598927e+00
  -8.7693504932e-01  -8.7898154100e-01   1.2843648726e+01  -1.0766229783e+00  -1.0766229783e+00
  -8.7284206597e-01  -8.7488855765e-01   1.2899647291e+01  -1.0578721937e+00  -1.0578721937e+00
  -8.6874908262e-01  -8.7079557430e-01   1.2931176682e+01  -1.0289726361e+00  -1.0289726361e+00
  -8.6465609927e-01  -8.6670259095e-01   1.2937075860e+01  -9.8984988417e-01  -9.8984988417e-01
  -8.6056311592e-01  -8.6260960760e-01   1.2917118180e+01  -9.4009274589e-01  -9.4009274589e-01
  -8.5687834890e-01  -8.5851662425e-01   1.2876302519e+01  -8.8553307542e-01  -8.8553307542e-01
  -8.5360179820e-01  -8.5524007355e-01   1.2826191027e+01  -8.3184692147e-01  -8.3184692147e-01
  -8.5032524749e-01  -8.5196352285e-01   1.2765246955e+01  -7.7458572402e-01  -7.7458572402e-01
  -8.4704869679e-01  -8.4868697214e-01   1.2693328307e+01  -7.1230192182e-01  -7.1230192182e-01
  -8.4377214609e-01  -8.4541042144e-01   1.2611046115e+01  -6.4433165744e-01  -6.4433165744e-01
  -8.4049559539e-01  -8.4213387074e-01   1.2523517295e+01  -5.7368046720e-01  -5.7368046720e-01
  -8.3721904469e-01  -8.3885732004e-01   1.2433728282e+01  -5.0139381677e-01  -5.0139381677e-01
  -8.3394249398e-01  -8.3558076933e-01   1.2344641798e+01  -4.2831783259e-01  -4.2831783259e-01
  -8.3028038782e-01  -8.3230421863e-01   1.2249107808e+01  -3.4656232031e-01  -3.4656232031e-01
  -8.2623272621e-01  -8.2825655702e-01   1.2153377508e+01  -2.5684851768e-01  -2.5684851768e-01
  -8.2218506459e-01  -8.2420889540e-01   1.2077510533e+01  -1.7337245304e-01  -1.7337245304e-01
  -8.1813740297e-01  -8.2016123378e-01   1.2029258431e+01  -1.0019065023e-01  -1.0019065023e-01
  -8.1408974136e-01  -8.1611357216e-01   1.2013252551e+01  -3.7672893923e-02  -3.7672893923e-02
  -8.1004207974e-01  -8.1206591055e-01   1.2033878366e+01   1.4043670336e-02   1.4043670336e-02
  -8.0599441812e-01  -8.0801824893e-01   1.2094619426e+01   5.0629084268e-02   5.0629084268e-02
  -8.0194675651e-01  -8.0397058731e-01   1.2199309156e+01   7.1773984702e-02   7.1773984702e-02
  -7.9833538098e-01  -7.9992292570e-01   1.2330784791e+01   7.6652032416e-02   7.6652032416e-02
  -7.9516029154e-01  -7.9674783626e-01   1.2470578792e+01   7.1618055713e-02   7.1618055713e-02
  -7.9198520210e-01  -7.9357274682e-01   1.2629394918e+01   5.8172078848e-02   5.8172078848e-02
