# time = 200
# Grid points = 544
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_uvel             4_vvel             5_wvel
  -9.9855330628e-01  -1.0000000000e+00   3.3671964918e-01  -3.7958125656e-02  -3.7958125656e-02
  -9.9565991884e-01  -9.9710661256e-01   1.0050559254e+00  -1.1370337100e-01  -1.1370337100e-01
  -9.9263069366e-01  -9.9421322512e-01   1.7004016764e+00  -1.9241017716e-01  -1.9241017716e-01
  -9.8942480681e-01  -9.9104816220e-01   2.4277560768e+00  -2.7401027200e-01  -2.7401027200e-01
  -9.8613030311e-01  -9.8780145142e-01   3.1567069835e+00  -3.5438021003e-01  -3.5438021003e-01
  -9.8272720332e-01  -9.8445915480e-01   3.8823819674e+00  -4.3227340101e-01  -4.3227340101e-01
  -9.7918521768e-01  -9.8099525183e-01   4.6053647359e+00  -5.0704626662e-01  -5.0704626662e-01
  -9.7546607102e-01  -9.7737518353e-01   5.3278400228e+00  -5.7821667289e-01  -5.7821667289e-01
  -9.7152274131e-01  -9.7355695851e-01   6.0511983774e+00  -6.4520871493e-01  -6.4520871493e-01
  -9.6729590446e-01  -9.6948852411e-01   6.7761890334e+00  -7.0741346251e-01  -7.0741346251e-01
  -9.6271297502e-01  -9.6510328481e-01   7.5033893574e+00  -7.6433127279e-01  -7.6433127279e-01
  -9.5772132169e-01  -9.6032266523e-01   8.2309114498e+00  -8.1560172623e-01  -8.1560172623e-01
  -9.5239311114e-01  -9.5511997815e-01   8.9518963115e+00  -8.6136528488e-01  -8.6136528488e-01
  -9.4824622359e-01  -9.4966624413e-01   9.4920068316e+00  -8.9338974803e-01  -8.9338974803e-01
  -9.4540618251e-01  -9.4682620305e-01   9.8520126919e+00  -9.1459277531e-01  -9.1459277531e-01
  -9.4244664903e-01  -9.4398616197e-01   1.0214697496e+01  -9.3628744524e-01  -9.3628744524e-01
  -9.3936762314e-01  -9.4090713609e-01   1.0576548074e+01  -9.5885814870e-01  -9.5885814870e-01
  -9.3614147978e-01  -9.3782811020e-01   1.0939513294e+01  -9.8301924840e-01  -9.8301924840e-01
  -9.3276821892e-01  -9.3445484935e-01   1.1301657720e+01  -1.0094290485e+00  -1.0094290485e+00
  -9.2923881699e-01  -9.3108158850e-01   1.1663980846e+01  -1.0387244280e+00  -1.0387244280e+00
