# time = 200
# FINE UNIFORM Grid points = 361
# Pressure (Pa) = 101325
#         1_posUnif        2_uvel_mean        3_uvel_rmsf   4_uvel_rhsfRatio        5_vvel_mean        6_vvel_rmsf   7_vvel_rhsfRatio        8_wvel_mean        9_wvel_rmsf  10_wvel_rhsfRatio             11_Rxx             12_Ryy             13_Rzz             14_Rxy             15_Rxz             16_Ryz
  -1.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00
  -9.9444444444e-01   9.6162110198e-01   3.4084060688e-01   0.0000000000e+00   2.3878775718e-03   9.8310699801e-02   0.0000000000e+00   2.3878775718e-03   9.8310699801e-02   0.0000000000e+00   1.1617231930e-01   9.6649936954e-03   9.6649936954e-03   1.9551229148e-04   1.9551229148e-04   9.6649936954e-03
  -9.8888888889e-01   1.9090492272e+00   6.7651809835e-01   0.0000000000e+00   4.7780014470e-03   1.9551909626e-01   0.0000000000e+00   4.7780014470e-03   1.9551909626e-01   0.0000000000e+00   4.5767673739e-01   3.8227717001e-02   3.8227717001e-02   1.1922231893e-03   1.1922231893e-03   3.8227717001e-02
  -9.8333333333e-01   2.8362580743e+00   9.9490891826e-01   0.0000000000e+00   7.2589677045e-03   2.8978419735e-01   0.0000000000e+00   7.2589677045e-03   2.8978419735e-01   0.0000000000e+00   9.8984375563e-01   8.3974881035e-02   8.3974881035e-02   4.9001600669e-03   4.9001600669e-03   8.3974881035e-02
  -9.7777777778e-01   3.7354023345e+00   1.2834370422e+00   0.0000000000e+00   9.8725053531e-03   3.8003371438e-01   0.0000000000e+00   9.8725053531e-03   3.8003371438e-01   0.0000000000e+00   1.6472106414e+00   1.4442562407e-01   1.4442562407e-01   1.3140593930e-02   1.3140593930e-02   1.4442562407e-01
  -9.7222222222e-01   4.5963361352e+00   1.5311217418e+00   0.0000000000e+00   1.2515187145e-02   4.6487956789e-01   0.0000000000e+00   1.2515187145e-02   4.6487956789e-01   0.0000000000e+00   2.3443337883e+00   2.1611301264e-01   2.1611301264e-01   2.5656601457e-02   2.5656601457e-02   2.1611301264e-01
  -9.6666666667e-01   5.4093822831e+00   1.7304617575e+00   0.0000000000e+00   1.4953583840e-02   5.4231860397e-01   0.0000000000e+00   1.4953583840e-02   5.4231860397e-01   0.0000000000e+00   2.9944978942e+00   2.9410946821e-01   2.9410946821e-01   4.0157104305e-02   4.0157104305e-02   2.9410946821e-01
  -9.6111111111e-01   6.1688174231e+00   1.8803105318e+00   0.0000000000e+00   1.6894233082e-02   6.1117490953e-01   0.0000000000e+00   1.6894233082e-02   6.1117490953e-01   0.0000000000e+00   3.5355676959e+00   3.7353477003e-01   3.7353477003e-01   5.2841080734e-02   5.2841080734e-02   3.7353477003e-01
  -9.5555555556e-01   6.8743130184e+00   1.9846899273e+00   0.0000000000e+00   1.8107969788e-02   6.7135679476e-01   0.0000000000e+00   1.8107969788e-02   6.7135679476e-01   0.0000000000e+00   3.9389941075e+00   4.5071994588e-01   4.5071994588e-01   6.1531958173e-02   6.1531958173e-02   4.5071994588e-01
  -9.5000000000e-01   7.5278744099e+00   2.0517223803e+00   0.0000000000e+00   1.8401425649e-02   7.2294273524e-01   0.0000000000e+00   1.8401425649e-02   7.2294273524e-01   0.0000000000e+00   4.2095647258e+00   5.2264619843e-01   5.2264619843e-01   6.6056192198e-02   6.6056192198e-02   5.2264619843e-01
  -9.4444444444e-01   8.1306593334e+00   2.0922074571e+00   0.0000000000e+00   1.7499077194e-02   7.6580169855e-01   0.0000000000e+00   1.7499077194e-02   7.6580169855e-01   0.0000000000e+00   4.3773320434e+00   5.8645224150e-01   5.8645224150e-01   6.4795796148e-02   6.4795796148e-02   5.8645224150e-01
  -9.3888888889e-01   8.6816190123e+00   2.1135013554e+00   0.0000000000e+00   1.5384977581e-02   7.9910210335e-01   0.0000000000e+00   1.5384977581e-02   7.9910210335e-01   0.0000000000e+00   4.4668879793e+00   6.3856417158e-01   6.3856417158e-01   5.9044856213e-02   5.9044856213e-02   6.3856417158e-01
  -9.3333333333e-01   9.1795685770e+00   2.1215149766e+00   0.0000000000e+00   1.2195630030e-02   8.2202593947e-01   0.0000000000e+00   1.2195630030e-02   8.2202593947e-01   0.0000000000e+00   4.5008257958e+00   6.7572664516e-01   6.7572664516e-01   5.0634018685e-02   5.0634018685e-02   6.7572664516e-01
  -9.2777777778e-01   9.6244791543e+00   2.1214448217e+00   0.0000000000e+00   8.0315722284e-03   8.3511729764e-01   0.0000000000e+00   8.0315722284e-03   8.3511729764e-01   0.0000000000e+00   4.5005281316e+00   6.9742090082e-01   6.9742090082e-01   4.0521022361e-02   4.0521022361e-02   6.9742090082e-01
  -9.2222222222e-01   1.0019013668e+01   2.1179706195e+00   0.0000000000e+00   2.6808576904e-03   8.4016789112e-01   0.0000000000e+00   2.6808576904e-03   8.4016789112e-01   0.0000000000e+00   4.4857995449e+00   7.0588208527e-01   7.0588208527e-01   2.7547844102e-02   2.7547844102e-02   7.0588208527e-01
  -9.1666666667e-01   1.0367016652e+01   2.1147916494e+00   0.0000000000e+00  -3.9347785769e-03   8.3980563015e-01   0.0000000000e+00  -3.9347785769e-03   8.3980563015e-01   0.0000000000e+00   4.4723437203e+00   7.0527349643e-01   7.0527349643e-01   9.7626174213e-03   9.7626174213e-03   7.0527349643e-01
  -9.1111111111e-01   1.0673098672e+01   2.1146526559e+00   0.0000000000e+00  -1.1674393552e-02   8.3648629682e-01   0.0000000000e+00  -1.1674393552e-02   8.3648629682e-01   0.0000000000e+00   4.4717558549e+00   6.9970932477e-01   6.9970932477e-01  -1.4072025637e-02  -1.4072025637e-02   6.9970932477e-01
  -9.0555555556e-01   1.0942024334e+01   2.1194313060e+00   0.0000000000e+00  -1.9938031098e-02   8.3232289365e-01   0.0000000000e+00  -1.9938031098e-02   8.3232289365e-01   0.0000000000e+00   4.4919890610e+00   6.9276139930e-01   6.9276139930e-01  -4.1564969694e-02  -4.1564969694e-02   6.9276139930e-01
  -9.0000000000e-01   1.1179119676e+01   2.1305280151e+00   0.0000000000e+00  -2.8250350162e-02   8.2879714889e-01   0.0000000000e+00  -2.8250350162e-02   8.2879714889e-01   0.0000000000e+00   4.5391496232e+00   6.8690471401e-01   6.8690471401e-01  -6.6846092463e-02  -6.6846092463e-02   6.8690471401e-01
  -8.9444444444e-01   1.1389399287e+01   2.1487404673e+00   0.0000000000e+00  -3.6120517464e-02   8.2636051526e-01   0.0000000000e+00  -3.6120517464e-02   8.2636051526e-01   0.0000000000e+00   4.6170855959e+00   6.8287170118e-01   6.8287170118e-01  -8.7120946018e-02  -8.7120946018e-02   6.8287170118e-01
  -8.8888888889e-01   1.1577416979e+01   2.1721327229e+00   0.0000000000e+00  -4.3253262189e-02   8.2494815026e-01   0.0000000000e+00  -4.3253262189e-02   8.2494815026e-01   0.0000000000e+00   4.7181605659e+00   6.8053945061e-01   6.8053945061e-01  -1.0310315298e-01  -1.0310315298e-01   6.8053945061e-01
  -8.8333333333e-01   1.1747985428e+01   2.1957323978e+00   0.0000000000e+00  -4.9533534466e-02   8.2385244103e-01   0.0000000000e+00  -4.9533534466e-02   8.2385244103e-01   0.0000000000e+00   4.8212407627e+00   6.7873284459e-01   6.7873284459e-01  -1.1456203927e-01  -1.1456203927e-01   6.7873284459e-01
  -8.7777777778e-01   1.1905791031e+01   2.2151087363e+00   0.0000000000e+00  -5.4707415212e-02   8.2232992257e-01   0.0000000000e+00  -5.4707415212e-02   8.2232992257e-01   0.0000000000e+00   4.9067067137e+00   6.7622650155e-01   6.7622650155e-01  -1.1910154999e-01  -1.1910154999e-01   6.7622650155e-01
  -8.7222222222e-01   1.2054352330e+01   2.2251603408e+00   0.0000000000e+00  -5.8506374219e-02   8.1995963162e-01   0.0000000000e+00  -5.8506374219e-02   8.1995963162e-01   0.0000000000e+00   4.9513385421e+00   6.7233379749e-01   6.7233379749e-01  -1.1507660810e-01  -1.1507660810e-01   6.7233379749e-01
