# time = 200
# FINE UNIFORM Grid points = 361
# Pressure (Pa) = 101325
#         1_posUnif              2_Rkk           3_thetaZ           4_thetaY           5_thetaX            6_xmap1            7_xmap2
  -1.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00
  -9.9444444444e-01   1.2619179461e-01   2.5093559934e-02  -2.5085663378e-02   7.8508338610e-01   7.4831444760e-01   1.9229626864e-16
  -9.8888888889e-01   4.9260272498e-01   2.2288308339e-02  -2.2282774690e-02   7.8514982026e-01   7.4509555180e-01   0.0000000000e+00
  -9.8333333333e-01   1.0556286826e+00   1.7204036030e-02  -1.7201490576e-02   7.8525018859e-01   7.3796243519e-01   0.0000000000e+00
  -9.7777777778e-01   1.7435514847e+00   1.1291259936e-02  -1.1290540242e-02   7.8533441993e-01   7.2656145465e-01  -3.8459253728e-16
  -9.7222222222e-01   2.4727552581e+00   6.0268454412e-03  -6.0267359893e-03   7.8538000225e-01   7.1040477935e-01   0.0000000000e+00
  -9.6666666667e-01   3.1576108287e+00   1.1675356717e-03  -1.1675348788e-03   7.8539748192e-01   6.9041446749e-01   0.0000000000e+00
  -9.6111111111e-01   3.7330055825e+00  -3.3156614405e-03   3.3156432143e-03   7.8539266671e-01   6.6716218830e-01   1.9229626864e-16
  -9.5555555556e-01   4.1639621600e+00  -6.8548089374e-03   6.8546479003e-03   7.8537466963e-01   6.4143462158e-01   0.0000000000e+00
  -9.5000000000e-01   4.4443432201e+00  -9.4221536198e-03   9.4217354165e-03   7.8535377629e-01   6.1469749385e-01   0.0000000000e+00
  -9.4444444444e-01   4.5920377076e+00  -1.0774694812e-02   1.0774069438e-02   7.8534011867e-01   5.8808177318e-01   0.0000000000e+00
  -9.3888888889e-01   4.6359153726e+00  -1.0292728876e-02   1.0292183721e-02   7.8534519512e-01   5.6298307750e-01   1.9229626864e-16
  -9.3333333333e-01   4.6081525870e+00  -7.6477444341e-03   7.6475207950e-03   7.8536892007e-01   5.4003447812e-01  -1.9229626864e-16
  -9.2777777778e-01   4.5385050918e+00  -3.0213124573e-03   3.0212986697e-03   7.8539359925e-01   5.2033460871e-01   0.0000000000e+00
  -9.2222222222e-01   4.4508289102e+00   2.2396858915e-03  -2.2396802798e-03   7.8539565541e-01   5.0571923737e-01   1.9229626864e-16
  -9.1666666667e-01   4.3630928131e+00   7.0585274134e-03  -7.0583515905e-03   7.8537325250e-01   4.9629980238e-01   1.9229626864e-16
  -9.1111111111e-01   4.2805514682e+00   1.2149090407e-02  -1.2148193917e-02   7.8532436680e-01   4.9211358469e-01  -3.8459253728e-16
  -9.0555555556e-01   4.2084089316e+00   1.6574070791e-02  -1.6571794839e-02   7.8526082607e-01   4.9208094350e-01   0.0000000000e+00
  -9.0000000000e-01   4.1590515556e+00   1.9312210261e-02  -1.9308609957e-02   7.8521170583e-01   4.9586806032e-01   0.0000000000e+00
  -8.9444444444e-01   4.1388597259e+00   2.0129498578e-02  -2.0125421663e-02   7.8519559241e-01   5.0351102812e-01   0.0000000000e+00
  -8.8888888889e-01   4.1401787394e+00   1.9369991379e-02  -1.9366358668e-02   7.8521058866e-01   5.1410426913e-01   0.0000000000e+00
  -8.8333333333e-01   4.1522512515e+00   1.6353538856e-02  -1.6351352542e-02   7.8526445625e-01   5.2639483412e-01   1.9229626864e-16
  -8.7777777778e-01   4.1635111732e+00   1.0960562757e-02  -1.0959904458e-02   7.8533809881e-01   5.3893357641e-01   1.9229626864e-16
  -8.7222222222e-01   4.1712371204e+00   4.3081286049e-03  -4.3080886245e-03   7.8538888357e-01   5.5053090636e-01   0.0000000000e+00
  -8.6666666667e-01   4.1854500924e+00  -3.2823051338e-03   3.2822874704e-03   7.8539277667e-01   5.6192626365e-01  -3.8459253728e-16
  -8.6111111111e-01   4.2182088186e+00  -1.1743687587e-02   1.1742877871e-02   7.8532920954e-01   5.7401629352e-01   0.0000000000e+00
  -8.5555555556e-01   4.2673721548e+00  -1.9544844086e-02   1.9541112126e-02   7.8520718724e-01   5.8662620850e-01   0.0000000000e+00
  -8.5000000000e-01   4.3255429330e+00  -2.5601497631e-02   2.5593111772e-02   7.8507051664e-01   5.9874411744e-01   0.0000000000e+00
  -8.4444444444e-01   4.3823097308e+00  -3.0466836503e-02   3.0452706263e-02   7.8493419285e-01   6.0976048697e-01   0.0000000000e+00
  -8.3888888889e-01   4.4289342531e+00  -3.4665148506e-02   3.4644339290e-02   7.8479756769e-01   6.1966286448e-01  -3.8459253728e-16
  -8.3333333333e-01   4.4577461874e+00  -3.7776866942e-02   3.7749940407e-02   7.8468495672e-01   6.2794842577e-01   0.0000000000e+00
  -8.2777777778e-01   4.4628332211e+00  -3.9731235022e-02   3.9699912876e-02   7.8460929288e-01   6.3429506477e-01   0.0000000000e+00
  -8.2222222222e-01   4.4357716078e+00  -4.0164020724e-02   4.0131664709e-02   7.8459202239e-01   6.3843820048e-01   3.8459253728e-16
  -8.1666666667e-01   4.3863332956e+00  -3.8332793119e-02   3.8304660949e-02   7.8466382137e-01   6.4027465479e-01   0.0000000000e+00
  -8.1111111111e-01   4.3345886170e+00  -3.3564388197e-02   3.3545498044e-02   7.8483509072e-01   6.4104443137e-01   0.0000000000e+00
  -8.0555555556e-01   4.2968446527e+00  -2.6174446471e-02   2.6165484920e-02   7.8505569079e-01   6.4256010276e-01  -3.8459253728e-16
  -8.0000000000e-01   4.2789286626e+00  -1.7156119895e-02   1.7153595683e-02   7.8525101159e-01   6.4613657287e-01  -3.8459253728e-16
  -7.9444444444e-01   4.2825005920e+00  -8.0678413947e-03   8.0675788491e-03   7.8536561916e-01   6.5213530455e-01  -1.9229626864e-16
  -7.8888888889e-01   4.3039533369e+00  -5.9765976152e-04   5.9765972245e-04   7.8539798482e-01   6.5985039895e-01   0.0000000000e+00
  -7.8333333333e-01   4.3397107409e+00   5.0387017606e-03  -5.0386378043e-03   7.8538546922e-01   6.6798998014e-01   1.9229626864e-16
  -7.7777777778e-01   4.3692441410e+00   9.1694861210e-03  -9.1691006705e-03   7.8535612490e-01   6.7587982158e-01  -3.8459253728e-16
  -7.7222222222e-01   4.3858452736e+00   1.2122907328e-02  -1.2122016618e-02   7.8532468453e-01   6.8330975543e-01   0.0000000000e+00
  -7.6666666667e-01   4.3798515690e+00   1.3768105736e-02  -1.3766800992e-02   7.8530338911e-01   6.9002465835e-01   0.0000000000e+00
  -7.6111111111e-01   4.3455515198e+00   1.4345926764e-02  -1.4344450772e-02   7.8529526773e-01   6.9562609142e-01  -3.8459253728e-16
  -7.5555555556e-01   4.2835249969e+00   1.4374045069e-02  -1.4372560384e-02   7.8529486391e-01   7.0031124957e-01  -7.6918507455e-16
  -7.5000000000e-01   4.2000872021e+00   1.4515842418e-02  -1.4514313364e-02   7.8529281596e-01   7.0384951959e-01   1.9229626864e-16
