# time = 200
# Grid points = 114
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_uvel             4_vvel             5_wvel
  -9.9734972621e-01  -1.0000000000e+00   6.3169479560e-01   8.3457197139e-03   8.3457197139e-03
  -9.9335036739e-01  -9.9469945242e-01   1.5663834501e+00   2.1648910748e-02   2.1648910748e-02
  -9.9062934511e-01  -9.9200128236e-01   2.1927227292e+00   3.1336921153e-02   3.1336921153e-02
  -9.8785605282e-01  -9.8925740785e-01   2.8190662265e+00   4.2123954003e-02   4.2123954003e-02
  -9.8501647583e-01  -9.8645469778e-01   3.4455163027e+00   5.4366726372e-02   5.4366726372e-02
  -9.8209450987e-01  -9.8357825388e-01   4.0720930185e+00   6.8459756129e-02   6.8459756129e-02
  -9.7907126497e-01  -9.8061076586e-01   4.6987912133e+00   8.4846806014e-02   8.4846806014e-02
  -9.7592414484e-01  -9.7753176408e-01   5.3255974987e+00   1.0403588304e-01   1.0403588304e-01
  -9.7262533274e-01  -9.7431652560e-01   5.9525255218e+00   1.2661936889e-01   1.2661936889e-01
  -9.6913905802e-01  -9.7093413988e-01   6.5796459014e+00   1.5330094055e-01   1.5330094055e-01
  -9.6541708941e-01  -9.6734397615e-01   7.2070133149e+00   1.8493071649e-01   1.8493071649e-01
  -9.6139227556e-01  -9.6349020268e-01   7.8348699796e+00   2.2257817182e-01   2.2257817182e-01
  -9.5696914048e-01  -9.5929434844e-01   8.4631857850e+00   2.6758247895e-01   2.6758247895e-01
  -9.5200601845e-01  -9.5464393253e-01   9.0919493426e+00   3.2165658840e-01   3.2165658840e-01
  -9.4627725891e-01  -9.4936810438e-01   9.7207533019e+00   3.8694483315e-01   3.8694483315e-01
  -9.3939484497e-01  -9.4318641344e-01   1.0348407406e+01   4.6603773430e-01   4.6603773430e-01
  -9.3058763687e-01  -9.3560327650e-01   1.1000219172e+01   5.6694095142e-01   5.6694095142e-01
  -9.1845777310e-01  -9.2557199723e-01   1.1632103865e+01   6.8408446196e-01   6.8408446196e-01
  -8.9997977915e-01  -9.1134354897e-01   1.2264382273e+01   8.0489450802e-01   8.0489450802e-01
  -8.7700742583e-01  -8.8861600932e-01   1.2658158810e+01   8.5078363337e-01   8.5078363337e-01
  -8.5379025885e-01  -8.6539884234e-01   1.2851832367e+01   8.2445931120e-01   8.2445931120e-01
  -8.2829042859e-01  -8.4218167536e-01   1.2884202868e+01   7.3195286769e-01   7.3195286769e-01
  -8.0050793504e-01  -8.1439918181e-01   1.2711981976e+01   5.3741559495e-01   5.3741559495e-01
  -7.7539393013e-01  -7.8661668827e-01   1.2447857137e+01   3.2512131047e-01   3.2512131047e-01
  -7.5294841385e-01  -7.6417117199e-01   1.2200415444e+01   1.3539521946e-01   1.3539521946e-01
  -7.3262606586e-01  -7.4172565571e-01   1.2042719410e+01  -1.2761608653e-02  -1.2761608653e-02
  -7.1442688616e-01  -7.2352647601e-01   1.2133322332e+01  -4.7649665619e-02  -4.7649665619e-02
  -6.9937129866e-01  -7.0532729631e-01   1.2731004477e+01   9.3044717223e-02   9.3044717223e-02
  -6.8887163737e-01  -6.9341530102e-01   1.3414985735e+01   2.4483583942e-01   2.4483583942e-01
  -6.7978268246e-01  -6.8432797373e-01   1.4072900566e+01   3.7393144891e-01   3.7393144891e-01
  -6.6980114571e-01  -6.7523739119e-01   1.4729847779e+01   4.8883419346e-01   4.8883419346e-01
  -6.5673992434e-01  -6.6436490024e-01   1.5375038553e+01   5.9819894501e-01   5.9819894501e-01
  -6.3788913345e-01  -6.4911494845e-01   1.5925253014e+01   7.0251476745e-01   7.0251476745e-01
  -6.1450397257e-01  -6.2666331845e-01   1.6381985562e+01   7.9758021531e-01   7.9758021531e-01
  -5.9018528079e-01  -6.0234462668e-01   1.6538389065e+01   7.8024399443e-01   7.8024399443e-01
  -5.6518169256e-01  -5.7802593491e-01   1.6638246504e+01   6.5233455308e-01   6.5233455308e-01
  -5.3949320787e-01  -5.5233745022e-01   1.6469898190e+01   3.7413765996e-01   3.7413765996e-01
  -5.1206140201e-01  -5.2664896552e-01   1.6153208538e+01   1.0886272368e-01   1.0886272368e-01
  -4.9012261814e-01  -4.9747383850e-01   1.5564843247e+01  -2.1807942616e-01  -2.1807942616e-01
  -4.7780849119e-01  -4.8277139778e-01   1.4841440610e+01  -5.3803739270e-01  -5.3803739270e-01
  -4.6784192471e-01  -4.7284558459e-01   1.4118391090e+01  -8.5834006012e-01  -8.5834006012e-01
  -4.5572393453e-01  -4.6283826482e-01   1.3458759772e+01  -1.1767561602e+00  -1.1767561602e+00
  -4.3760047919e-01  -4.4860960424e-01   1.2995439164e+01  -1.4538616028e+00  -1.4538616028e+00
  -4.1558222910e-01  -4.2659135415e-01   1.2946082284e+01  -1.5569587180e+00  -1.5569587180e+00
  -3.9363748788e-01  -4.0457310406e-01   1.3156448693e+01  -1.5613573995e+00  -1.5613573995e+00
  -3.7751275015e-01  -3.8270187171e-01   1.3800805571e+01  -1.4254141052e+00  -1.4254141052e+00
  -3.6816236808e-01  -3.7232362859e-01   1.4512390526e+01  -1.2701067945e+00  -1.2701067945e+00
  -3.5966758856e-01  -3.6400110757e-01   1.5159363140e+01  -1.1415115049e+00  -1.1415115049e+00
  -3.5008574260e-01  -3.5533406954e-01   1.5808351589e+01  -1.0245985221e+00  -1.0245985221e+00
  -3.3750486008e-01  -3.4483741565e-01   1.6452464383e+01  -9.1013381413e-01  -9.1013381413e-01
  -3.1891341698e-01  -3.3017230451e-01   1.7059593013e+01  -7.7978009819e-01  -7.7978009819e-01
  -2.8984869968e-01  -3.0765452946e-01   1.7612662713e+01  -6.2095986953e-01  -6.2095986953e-01
  -2.6188272427e-01  -2.7204286990e-01   1.7910365229e+01  -5.2072302682e-01  -5.2072302682e-01
  -2.4156243300e-01  -2.5172257863e-01   1.8171797334e+01  -4.3471124515e-01  -4.3471124515e-01
  -2.1996492402e-01  -2.3140228736e-01   1.8435577120e+01  -3.5822481418e-01  -3.5822481418e-01
  -1.9709019732e-01  -2.0852756067e-01   1.8668440879e+01  -3.0846227274e-01  -3.0846227274e-01
  -1.7135639608e-01  -1.8565283397e-01   1.8837405121e+01  -2.8147575764e-01  -2.8147575764e-01
  -1.4276352031e-01  -1.5705995819e-01   1.8999142134e+01  -2.5767993796e-01  -2.5767993796e-01
  -1.1262313873e-01  -1.2846708242e-01   1.9116648228e+01  -2.3738867345e-01  -2.3738867345e-01
  -8.0935251351e-02  -9.6779195040e-02   1.9203339064e+01  -2.1613432869e-01  -2.1613432869e-01
  -4.8665339278e-02  -6.5091307663e-02   1.9243379156e+01  -1.9577001496e-01  -1.9577001496e-01
  -1.5813402510e-02  -3.2239370894e-02   1.9236885037e+01  -1.7398039314e-01  -1.7398039314e-01
   1.5932790042e-02   6.1256587488e-04   1.9178978007e+01  -1.4907100730e-01  -1.4907100730e-01
