# time = 200
# FINE UNIFORM Grid points = 361
# Pressure (Pa) = 101325
#         1_posUnif        2_uvel_mean        3_uvel_rmsf   4_uvel_rhsfRatio        5_vvel_mean        6_vvel_rmsf   7_vvel_rhsfRatio        8_wvel_mean        9_wvel_rmsf  10_wvel_rhsfRatio             11_Rxx             12_Ryy             13_Rzz             14_Rxy             15_Rxz             16_Ryz
  -1.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00
  -9.9444444444e-01   1.0058298826e+00   3.3195277456e-01   0.0000000000e+00   2.7685522869e-04   8.9440343451e-02   0.0000000000e+00   2.7685522869e-04   8.9440343451e-02   0.0000000000e+00   1.1019264454e-01   7.9995750367e-03   7.9995750367e-03   2.3671286146e-03   2.3671286146e-03   7.9995750367e-03
  -9.8888888889e-01   1.9965375025e+00   6.5532815398e-01   0.0000000000e+00   3.4250115664e-04   1.7769037056e-01   0.0000000000e+00   3.4250115664e-04   1.7769037056e-01   0.0000000000e+00   4.2945498940e-01   3.1573867791e-02   3.1573867791e-02   8.1738447976e-03   8.1738447976e-03   3.1573867791e-02
  -9.8333333333e-01   2.9696667814e+00   9.5752834753e-01   0.0000000000e+00   7.9560556024e-05   2.6340856691e-01   0.0000000000e+00   7.9560556024e-05   2.6340856691e-01   0.0000000000e+00   9.1686053632e-01   6.9384073120e-02   6.9384073120e-02   1.3395581024e-02   1.3395581024e-02   6.9384073120e-02
  -9.7777777778e-01   3.9138764149e+00   1.2267238623e+00   0.0000000000e+00  -4.6697888193e-04   3.4547072987e-01   0.0000000000e+00  -4.6697888193e-04   3.4547072987e-01   0.0000000000e+00   1.5048514343e+00   1.1935002520e-01   1.1935002520e-01   1.4300698693e-02   1.4300698693e-02   1.1935002520e-01
  -9.7222222222e-01   4.8189850312e+00   1.4541590692e+00   0.0000000000e+00  -1.0601224175e-03   4.2318829124e-01   0.0000000000e+00  -1.0601224175e-03   4.2318829124e-01   0.0000000000e+00   2.1145785985e+00   1.7908832984e-01   1.7908832984e-01   1.0586456910e-02   1.0586456910e-02   1.7908832984e-01
  -9.6666666667e-01   5.6757629786e+00   1.6336552789e+00   0.0000000000e+00  -1.5003053091e-03   4.9435880618e-01   0.0000000000e+00  -1.5003053091e-03   4.9435880618e-01   0.0000000000e+00   2.6688295702e+00   2.4439062925e-01   2.4439062925e-01   2.5453176327e-03   2.5453176327e-03   2.4439062925e-01
  -9.6111111111e-01   6.4766921101e+00   1.7640034351e+00   0.0000000000e+00  -1.7350180326e-03   5.5735871008e-01   0.0000000000e+00  -1.7350180326e-03   5.5735871008e-01   0.0000000000e+00   3.1117081191e+00   3.1064873170e-01   3.1064873170e-01  -8.2575710472e-03  -8.2575710472e-03   3.1064873170e-01
  -9.5555555556e-01   7.2170106517e+00   1.8485629117e+00   0.0000000000e+00  -1.6081422660e-03   6.1105536639e-01   0.0000000000e+00  -1.6081422660e-03   6.1105536639e-01   0.0000000000e+00   3.4171848384e+00   3.7338866079e-01   3.7338866079e-01  -1.8307138614e-02  -1.8307138614e-02   3.7338866079e-01
  -9.5000000000e-01   7.8949460179e+00   1.8941092689e+00   0.0000000000e+00  -9.6461580944e-04   6.5448196974e-01   0.0000000000e+00  -9.6461580944e-04   6.5448196974e-01   0.0000000000e+00   3.5876499226e+00   4.2834664872e-01   4.2834664872e-01  -2.5736824630e-02  -2.5736824630e-02   4.2834664872e-01
  -9.4444444444e-01   8.5107607671e+00   1.9093555895e+00   0.0000000000e+00   2.6822033437e-04   6.8789495581e-01   0.0000000000e+00   2.6822033437e-04   6.8789495581e-01   0.0000000000e+00   3.6456387671e+00   4.7319947022e-01   4.7319947022e-01  -2.9091365981e-02  -2.9091365981e-02   4.7319947022e-01
  -9.3888888889e-01   9.0658511137e+00   1.9032539821e+00   0.0000000000e+00   1.9808686699e-03   7.1187767641e-01   0.0000000000e+00   1.9808686699e-03   7.1187767641e-01   0.0000000000e+00   3.6223757203e+00   5.0676982617e-01   5.0676982617e-01  -2.6858681686e-02  -2.6858681686e-02   5.0676982617e-01
  -9.3333333333e-01   9.5621541405e+00   1.8836310289e+00   0.0000000000e+00   3.9365808357e-03   7.2804077289e-01   0.0000000000e+00   3.9365808357e-03   7.2804077289e-01   0.0000000000e+00   3.5480658530e+00   5.3004336699e-01   5.3004336699e-01  -1.9030024784e-02  -1.9030024784e-02   5.3004336699e-01
  -9.2777777778e-01   1.0003166401e+01   1.8574121966e+00   0.0000000000e+00   6.1687388711e-03   7.3774149392e-01   0.0000000000e+00   6.1687388711e-03   7.3774149392e-01   0.0000000000e+00   3.4499800681e+00   5.4426251186e-01   5.4426251186e-01  -7.1348485867e-03  -7.1348485867e-03   5.4426251186e-01
  -9.2222222222e-01   1.0392635601e+01   1.8305263655e+00   0.0000000000e+00   8.3526011786e-03   7.4162056860e-01   0.0000000000e+00   8.3526011786e-03   7.4162056860e-01   0.0000000000e+00   3.3508267746e+00   5.5000106777e-01   5.5000106777e-01   5.0412062693e-03   5.0412062693e-03   5.5000106777e-01
  -9.1666666667e-01   1.0735346524e+01   1.8066631392e+00   0.0000000000e+00   1.0121421534e-02   7.4130328292e-01   0.0000000000e+00   1.0121421534e-02   7.4130328292e-01   0.0000000000e+00   3.2640316986e+00   5.4953055726e-01   5.4953055726e-01   1.5283279003e-02   1.5283279003e-02   5.4953055726e-01
  -9.1111111111e-01   1.1035766147e+01   1.7868723442e+00   0.0000000000e+00   1.2109509465e-02   7.3744108024e-01   0.0000000000e+00   1.2109509465e-02   7.3744108024e-01   0.0000000000e+00   3.1929127745e+00   5.4381934682e-01   5.4381934682e-01   2.5585977240e-02   2.5585977240e-02   5.4381934682e-01
  -9.0555555556e-01   1.1299615961e+01   1.7715829254e+00   0.0000000000e+00   1.4412058699e-02   7.3140374279e-01   0.0000000000e+00   1.4412058699e-02   7.3140374279e-01   0.0000000000e+00   3.1385060617e+00   5.3495143496e-01   5.3495143496e-01   3.4307167317e-02   3.4307167317e-02   5.3495143496e-01
  -9.0000000000e-01   1.1531707085e+01   1.7632806382e+00   0.0000000000e+00   1.7235879539e-02   7.2453189946e-01   0.0000000000e+00   1.7235879539e-02   7.2453189946e-01   0.0000000000e+00   3.1091586090e+00   5.2494647334e-01   5.2494647334e-01   3.9803614093e-02   3.9803614093e-02   5.2494647334e-01
  -8.9444444444e-01   1.1736352298e+01   1.7634405871e+00   0.0000000000e+00   2.0504969740e-02   7.1733430902e-01   0.0000000000e+00   2.0504969740e-02   7.1733430902e-01   0.0000000000e+00   3.1097227041e+00   5.1456851090e-01   5.1456851090e-01   4.1920785673e-02   4.1920785673e-02   5.1456851090e-01
  -8.8888888889e-01   1.1918032758e+01   1.7699533190e+00   0.0000000000e+00   2.4164778986e-02   7.0973374869e-01   0.0000000000e+00   2.4164778986e-02   7.0973374869e-01   0.0000000000e+00   3.1327347513e+00   5.0372199404e-01   5.0372199404e-01   4.1202939284e-02   4.1202939284e-02   5.0372199404e-01
  -8.8333333333e-01   1.2080546392e+01   1.7798367214e+00   0.0000000000e+00   2.8098370487e-02   7.0158124859e-01   0.0000000000e+00   2.8098370487e-02   7.0158124859e-01   0.0000000000e+00   3.1678187547e+00   4.9221624838e-01   4.9221624838e-01   3.5728389043e-02   3.5728389043e-02   4.9221624838e-01
  -8.7777777778e-01   1.2228466334e+01   1.7897330890e+00   0.0000000000e+00   3.1822134292e-02   6.9295261138e-01   0.0000000000e+00   3.1822134292e-02   6.9295261138e-01   0.0000000000e+00   3.2031445299e+00   4.8018332162e-01   4.8018332162e-01   2.4589000585e-02   2.4589000585e-02   4.8018332162e-01
  -8.7222222222e-01   1.2364098776e+01   1.7982577114e+00   0.0000000000e+00   3.5450105785e-02   6.8465550602e-01   0.0000000000e+00   3.5450105785e-02   6.8465550602e-01   0.0000000000e+00   3.2337307965e+00   4.6875316193e-01   4.6875316193e-01   9.8928583597e-03   9.8928583597e-03   4.6875316193e-01
  -8.6666666667e-01   1.2489500668e+01   1.8079357113e+00   0.0000000000e+00   3.8459011655e-02   6.7705928701e-01   0.0000000000e+00   3.8459011655e-02   6.7705928701e-01   0.0000000000e+00   3.2686315362e+00   4.5840927812e-01   4.5840927812e-01  -7.7195608126e-03  -7.7195608126e-03   4.5840927812e-01
  -8.6111111111e-01   1.2605245944e+01   1.8218388948e+00   0.0000000000e+00   4.0707485530e-02   6.7048932124e-01   0.0000000000e+00   4.0707485530e-02   6.7048932124e-01   0.0000000000e+00   3.3190969588e+00   4.4955592990e-01   4.4955592990e-01  -2.8428697824e-02  -2.8428697824e-02   4.4955592990e-01
  -8.5555555556e-01   1.2713316724e+01   1.8394158472e+00   0.0000000000e+00   4.2116697781e-02   6.6480128455e-01   0.0000000000e+00   4.2116697781e-02   6.6480128455e-01   0.0000000000e+00   3.3834506589e+00   4.4196074794e-01   4.4196074794e-01  -4.8896495955e-02  -4.8896495955e-02   4.4196074794e-01
  -8.5000000000e-01   1.2815781446e+01   1.8585817447e+00   0.0000000000e+00   4.2694159074e-02   6.6000637549e-01   0.0000000000e+00   4.2694159074e-02   6.6000637549e-01   0.0000000000e+00   3.4543261017e+00   4.3560841568e-01   4.3560841568e-01  -6.6232778835e-02  -6.6232778835e-02   4.3560841568e-01
  -8.4444444444e-01   1.2913511222e+01   1.8767738037e+00   0.0000000000e+00   4.2288282438e-02   6.5575522138e-01   0.0000000000e+00   4.2288282438e-02   6.5575522138e-01   0.0000000000e+00   3.5222799101e+00   4.3001491037e-01   4.3001491037e-01  -8.1286429838e-02  -8.1286429838e-02   4.3001491037e-01
