# time = 200
# FINE UNIFORM Grid points = 361
# Pressure (Pa) = 101325
#         1_posUnif              2_Rkk           3_thetaZ           4_thetaY           5_thetaX            6_xmap1            7_xmap2
  -1.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00
  -9.9444444444e-01   1.3498960072e-01  -7.2417829938e-03   7.2415931194e-03   7.8537194220e-01   7.0467884850e-01   0.0000000000e+00
  -9.8888888889e-01   5.3025049867e-01  -5.8973653924e-03   5.8972628473e-03   7.8538077422e-01   7.0239563022e-01  -1.9229626864e-16
  -9.8333333333e-01   1.1372768569e+00  -3.6948772433e-03   3.6948520218e-03   7.8539133742e-01   6.9404381998e-01   1.9229626864e-16
  -9.7777777778e-01   1.8714607213e+00  -4.9066067692e-04   4.9066063613e-04   7.8539804300e-01   6.7947182004e-01   1.9229626864e-16
  -9.7222222222e-01   2.6366404282e+00   2.9023704456e-03  -2.9023582250e-03   7.8539395157e-01   6.5933713686e-01   0.0000000000e+00
  -9.6666666667e-01   3.3502329386e+00   5.6265102215e-03  -5.6264211694e-03   7.8538233485e-01   6.3429974945e-01  -1.9229626864e-16
  -9.6111111111e-01   3.9575223787e+00   7.7124627324e-03  -7.7122333735e-03   7.8536842299e-01   6.0517085551e-01   0.0000000000e+00
  -9.5555555556e-01   4.4290764656e+00   9.5744431082e-03  -9.5740043046e-03   7.8535232981e-01   5.7258018591e-01   0.0000000000e+00
  -9.5000000000e-01   4.7674048106e+00   1.1031562690e-02  -1.1030891519e-02   7.8533731816e-01   5.3793690486e-01   0.0000000000e+00
  -9.4444444444e-01   4.9944522911e+00   1.2526816176e-02  -1.2525833441e-02   7.8531970700e-01   5.0414930157e-01  -3.8459253728e-16
  -9.3888888889e-01   5.1244223219e+00   1.4099074198e-02  -1.4097673091e-02   7.8529877803e-01   4.7379358677e-01   1.9229626864e-16
  -9.3333333333e-01   5.1704048449e+00   1.4783575514e-02  -1.4781960296e-02   7.8528889433e-01   4.4857318787e-01   3.8459253728e-16
  -9.2777777778e-01   5.1506812993e+00   1.5231588245e-02  -1.5229821699e-02   7.8528217181e-01   4.2965256761e-01   0.0000000000e+00
  -9.2222222222e-01   5.0830261167e+00   1.6322343302e-02  -1.6320169473e-02   7.8526496587e-01   4.1731941021e-01   1.9229626864e-16
  -9.1666666667e-01   4.9946495850e+00   1.7479901365e-02  -1.7477231541e-02   7.8524540549e-01   4.1196033112e-01  -3.8459253728e-16
  -9.1111111111e-01   4.9186346788e+00   1.7262934201e-02  -1.7260362550e-02   7.8524917376e-01   4.1339372994e-01   0.0000000000e+00
  -9.0555555556e-01   4.8854671769e+00   1.4624063422e-02  -1.4622499916e-02   7.8529123946e-01   4.2089892995e-01   0.0000000000e+00
  -9.0000000000e-01   4.9072662235e+00   9.7920066601e-03  -9.7915372578e-03   7.8535022333e-01   4.3306072591e-01  -3.8459253728e-16
  -8.9444444444e-01   4.9758070022e+00   4.4058445898e-03  -4.4058018389e-03   7.8538845770e-01   4.4812918841e-01   1.9229626864e-16
  -8.8888888889e-01   5.0738732745e+00  -2.4368145327e-04   2.4368218722e-04   7.8539813378e-01   4.6405694647e-01   0.0000000000e+00
  -8.8333333333e-01   5.1825173767e+00  -3.4916240379e-03   3.4916027649e-03   7.8539206780e-01   4.7884719186e-01   0.0000000000e+00
  -8.7777777778e-01   5.2901211103e+00  -5.9932394548e-03   5.9931318278e-03   7.8538020421e-01   4.9188938296e-01  -3.8459253728e-16
