# time = 200
# Grid points = 558
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_uvel             4_vvel             5_wvel
  -9.9850284352e-01  -1.0000000000e+00   2.2648192152e-01  -3.6068563249e-03  -3.6068563249e-03
  -9.9550853055e-01  -9.9700568704e-01   6.7792644672e-01  -1.0795581817e-02  -1.0795581817e-02
  -9.9175582629e-01  -9.9401137407e-01   1.2421108074e+00  -1.9713087044e-02  -1.9713087044e-02
  -9.8724257452e-01  -9.8950027851e-01   1.9187843758e+00  -3.0145363550e-02  -3.0145363550e-02
  -9.8273239925e-01  -9.8498487052e-01   2.5951907235e+00  -4.0158003441e-02  -4.0158003441e-02
  -9.7823797419e-01  -9.8047992797e-01   3.2712293407e+00  -4.9628150016e-02  -4.9628150016e-02
  -9.7376689318e-01  -9.7599602041e-01   3.9468071175e+00  -5.8467944642e-02  -5.8467944642e-02
  -9.6932051020e-01  -9.7153776595e-01   4.6218603362e+00  -6.6621534127e-02  -6.6621534127e-02
  -9.6489350892e-01  -9.6710325445e-01   5.2963579525e+00  -7.4055655888e-02  -7.4055655888e-02
  -9.6047373195e-01  -9.6268376340e-01   5.9703121394e+00  -8.0745549005e-02  -8.0745549005e-02
  -9.5604209660e-01  -9.5826370051e-01   6.6437866586e+00  -8.6656803467e-02  -8.6656803467e-02
  -9.5157227844e-01  -9.5382049269e-01   7.3168971639e+00  -9.1722163231e-02  -9.1722163231e-02
  -9.4702974276e-01  -9.4932406419e-01   7.9898117574e+00  -9.5809750104e-02  -9.5809750104e-02
  -9.4236958517e-01  -9.4473542133e-01   8.6627811190e+00  -9.8675046909e-02  -9.8675046909e-02
  -9.3753271733e-01  -9.4000374900e-01   9.3361919511e+00  -9.9881581025e-02  -9.9881581025e-02
  -9.3244011090e-01  -9.3506168565e-01   1.0010516078e+01  -9.8662640373e-02  -9.8662640373e-02
  -9.2840196533e-01  -9.2981853615e-01   1.0510413571e+01  -9.4970787763e-02  -9.4970787763e-02
  -9.2556882369e-01  -9.2698539451e-01   1.0846520406e+01  -9.1116059252e-02  -9.1116059252e-02
  -9.2257875677e-01  -9.2415225287e-01   1.1184877750e+01  -8.5528345339e-02  -8.5528345339e-02
  -9.1943176457e-01  -9.2100526067e-01   1.1520878035e+01  -7.7628027564e-02  -7.7628027564e-02
  -9.1603552138e-01  -9.1785826847e-01   1.1860941825e+01  -6.6630562891e-02  -6.6630562891e-02
  -9.1239002718e-01  -9.1421277428e-01   1.2197182312e+01  -5.1348260815e-02  -5.1348260815e-02
  -9.0830181210e-01  -9.1056728009e-01   1.2541534200e+01  -2.9831745513e-02  -2.9831745513e-02
  -9.0377087613e-01  -9.0603634412e-01   1.2878164235e+01   7.1591361739e-04   7.1591361739e-04
  -8.9990334286e-01  -9.0150540815e-01   1.3128352254e+01   3.2992442623e-02   3.2992442623e-02
  -8.9669921227e-01  -8.9830127756e-01   1.3314969322e+01   6.3495351155e-02   6.3495351155e-02
  -8.9349508169e-01  -8.9509714698e-01   1.3481954025e+01   9.7776045374e-02   9.7776045374e-02
  -8.9029095110e-01  -8.9189301640e-01   1.3630386920e+01   1.3574274167e-01   1.3574274167e-01
  -8.8715482074e-01  -8.8868888581e-01   1.3758636197e+01   1.7631003157e-01   1.7631003157e-01
  -8.8408669058e-01  -8.8562075566e-01   1.3869341296e+01   2.1892901554e-01   2.1892901554e-01
  -8.8101856043e-01  -8.8255262551e-01   1.3966738445e+01   2.6421156098e-01   2.6421156098e-01
  -8.7795043028e-01  -8.7948449536e-01   1.4052543834e+01   3.1190224563e-01   3.1190224563e-01
  -8.7488230013e-01  -8.7641636520e-01   1.4128579269e+01   3.6174594161e-01   3.6174594161e-01
  -8.7181416998e-01  -8.7334823505e-01   1.4196626806e+01   4.1346059602e-01   4.1346059602e-01
  -8.6874603982e-01  -8.7028010490e-01   1.4258324984e+01   4.6668788710e-01   4.6668788710e-01
  -8.6567790967e-01  -8.6721197475e-01   1.4315073588e+01   5.2090682772e-01   5.2090682772e-01
  -8.6198274582e-01  -8.6414384460e-01   1.4378804483e+01   5.8652686359e-01   5.8652686359e-01
  -8.5766054826e-01  -8.5982164704e-01   1.4448071700e+01   6.6201787960e-01   6.6201787960e-01
  -8.5333835070e-01  -8.5549944948e-01   1.4515390355e+01   7.3558703176e-01   7.3558703176e-01
  -8.4901615314e-01  -8.5117725192e-01   1.4583313260e+01   8.0648453125e-01   8.0648453125e-01
  -8.4469395558e-01  -8.4685505436e-01   1.4653446032e+01   8.7367602321e-01   8.7367602321e-01
  -8.4037175802e-01  -8.4253285680e-01   1.4726694427e+01   9.3617073506e-01   9.3617073506e-01
  -8.3604956047e-01  -8.3821065925e-01   1.4803320569e+01   9.9314958180e-01   9.9314958180e-01
  -8.3172736291e-01  -8.3388846169e-01   1.4882786804e+01   1.0439262041e+00   1.0439262041e+00
  -8.2692462202e-01  -8.2956626413e-01   1.4972265028e+01   1.0926339391e+00   1.0926339391e+00
  -8.2164133782e-01  -8.2428297992e-01   1.5067371358e+01   1.1345375033e+00   1.1345375033e+00
  -8.1635805361e-01  -8.1899969571e-01   1.5156366530e+01   1.1652383670e+00   1.1652383670e+00
  -8.1107476940e-01  -8.1371641150e-01   1.5235602710e+01   1.1850913092e+00   1.1850913092e+00
  -8.0579148519e-01  -8.0843312729e-01   1.5301045729e+01   1.1943257932e+00   1.1943257932e+00
  -8.0050820098e-01  -8.0314984308e-01   1.5349238095e+01   1.1932206278e+00   1.1932206278e+00
  -7.9522491677e-01  -7.9786655888e-01   1.5378030847e+01   1.1821901036e+00   1.1821901036e+00
  -7.8994163256e-01  -7.9258327467e-01   1.5386944112e+01   1.1617020466e+00   1.1617020466e+00
  -7.8585649417e-01  -7.8729999046e-01   1.5378719540e+01   1.1381041970e+00   1.1381041970e+00
  -7.8296950160e-01  -7.8441299789e-01   1.5367139030e+01   1.1179932280e+00   1.1179932280e+00
  -7.8008250903e-01  -7.8152600532e-01   1.5350167788e+01   1.0944459475e+00   1.0944459475e+00
  -7.7719551646e-01  -7.7863901274e-01   1.5328433684e+01   1.0676149319e+00   1.0676149319e+00
  -7.7430852389e-01  -7.7575202017e-01   1.5302635143e+01   1.0375644121e+00   1.0375644121e+00
  -7.7142153132e-01  -7.7286502760e-01   1.5273471285e+01   1.0042398998e+00   1.0042398998e+00
  -7.6853453874e-01  -7.6997803503e-01   1.5241645252e+01   9.6754842858e-01   9.6754842858e-01
  -7.6564754617e-01  -7.6709104246e-01   1.5207862815e+01   9.2741235807e-01   9.2741235807e-01
  -7.6276055360e-01  -7.6420404989e-01   1.5172813095e+01   8.8378266616e-01   8.8378266616e-01
  -7.5987356103e-01  -7.6131705732e-01   1.5137144829e+01   8.3664151867e-01   8.3664151867e-01
  -7.5698656846e-01  -7.5843006474e-01   1.5101444847e+01   7.8600751924e-01   7.8600751924e-01
  -7.5409957589e-01  -7.5554307217e-01   1.5066216783e+01   7.3193776883e-01   7.3193776883e-01
  -7.5121258332e-01  -7.5265607960e-01   1.5031855807e+01   6.7451575051e-01   6.7451575051e-01
  -7.4832559075e-01  -7.4976908703e-01   1.4998621449e+01   6.1383247400e-01   6.1383247400e-01
  -7.4543859817e-01  -7.4688209446e-01   1.4966625994e+01   5.5001069930e-01   5.5001069930e-01
  -7.4255160560e-01  -7.4399510189e-01   1.4935859168e+01   4.8332528148e-01   4.8332528148e-01
  -7.3872165777e-01  -7.4110810932e-01   1.4896543981e+01   3.9179933797e-01   3.9179933797e-01
