# time = 200
# FINE UNIFORM Grid points = 361
# Pressure (Pa) = 101325
#         1_posUnif        2_uvel_mean        3_uvel_rmsf   4_uvel_rhsfRatio        5_vvel_mean        6_vvel_rmsf   7_vvel_rhsfRatio        8_wvel_mean        9_wvel_rmsf  10_wvel_rhsfRatio             11_Rxx             12_Ryy             13_Rzz             14_Rxy             15_Rxz             16_Ryz
  -1.0000000000e+00   2.2934464614e-02   5.1854695345e-02   0.0000000000e+00  -2.3872109648e-04   5.2712785831e-03   0.0000000000e+00  -2.3872109648e-04   5.2712785831e-03   0.0000000000e+00   2.6889094294e-03   2.7786377901e-05   2.7786377901e-05  -2.5663870670e-05  -2.5663870670e-05   2.7786377901e-05
  -9.9444444444e-01   9.3796317551e-01   2.7762085661e-01   0.0000000000e+00  -1.0102578044e-02   8.6857277655e-02   0.0000000000e+00  -1.0102578044e-02   8.6857277655e-02   0.0000000000e+00   7.7073340027e-02   7.5441866817e-03   7.5441866817e-03  -2.2804213531e-03  -2.2804213531e-03   7.5441866817e-03
  -9.8888888889e-01   1.8624253710e+00   5.5102217804e-01   0.0000000000e+00  -2.0070909898e-02   1.7311139585e-01   0.0000000000e+00  -2.0070909898e-02   1.7311139585e-01   0.0000000000e+00   3.0362544069e-01   2.9967555372e-02   2.9967555372e-02  -9.1384929376e-03  -9.1384929376e-03   2.9967555372e-02
  -9.8333333333e-01   2.7676708907e+00   8.1057266533e-01   0.0000000000e+00  -2.9751227465e-02   2.5788007818e-01   0.0000000000e+00  -2.9751227465e-02   2.5788007818e-01   0.0000000000e+00   6.5702804578e-01   6.6502134724e-02   6.6502134724e-02  -2.0394859316e-02  -2.0394859316e-02   6.6502134724e-02
  -9.7777777778e-01   3.6468443913e+00   1.0466468800e+00   0.0000000000e+00  -3.8967392353e-02   3.4025635747e-01   0.0000000000e+00  -3.8967392353e-02   3.4025635747e-01   0.0000000000e+00   1.0954696915e+00   1.1577438880e-01   1.1577438880e-01  -3.5537882543e-02  -3.5537882543e-02   1.1577438880e-01
  -9.7222222222e-01   4.4908768422e+00   1.2495813423e+00   0.0000000000e+00  -4.7360721188e-02   4.1918144475e-01   0.0000000000e+00  -4.7360721188e-02   4.1918144475e-01   0.0000000000e+00   1.5614535309e+00   1.7571308362e-01   1.7571308362e-01  -5.2171895032e-02  -5.2171895032e-02   1.7571308362e-01
  -9.6666666667e-01   5.2912300699e+00   1.4116126053e+00   0.0000000000e+00  -5.4581626084e-02   4.9323833406e-01   0.0000000000e+00  -5.4581626084e-02   4.9323833406e-01   0.0000000000e+00   1.9926501473e+00   2.4328405419e-01   2.4328405419e-01  -6.6696652606e-02  -6.6696652606e-02   2.4328405419e-01
  -9.6111111111e-01   6.0422986719e+00   1.5296141989e+00   0.0000000000e+00  -6.0412109986e-02   5.6060211765e-01   0.0000000000e+00  -6.0412109986e-02   5.6060211765e-01   0.0000000000e+00   2.3397195976e+00   3.1427473431e-01   3.1427473431e-01  -7.6539686161e-02  -7.6539686161e-02   3.1427473431e-01
  -9.5555555556e-01   6.7433480525e+00   1.6040481023e+00   0.0000000000e+00  -6.4842407387e-02   6.1979227166e-01   0.0000000000e+00  -6.4842407387e-02   6.1979227166e-01   0.0000000000e+00   2.5729703146e+00   3.8414246001e-01   3.8414246001e-01  -8.0862771787e-02  -8.0862771787e-02   3.8414246001e-01
  -9.5000000000e-01   7.3965877822e+00   1.6397147846e+00   0.0000000000e+00  -6.7997522650e-02   6.6977073068e-01   0.0000000000e+00  -6.7997522650e-02   6.6977073068e-01   0.0000000000e+00   2.6886645747e+00   4.4859283168e-01   4.4859283168e-01  -7.9940892549e-02  -7.9940892549e-02   4.4859283168e-01
