# time = 200
# FINE UNIFORM Grid points = 361
# Pressure (Pa) = 101325
#         1_posUnif              2_Rkk           3_thetaZ           4_thetaY           5_thetaX            6_xmap1            7_xmap2
  -1.0000000000e+00   2.7444821852e-03  -9.7436023372e-03   9.7431399572e-03   7.8535069602e-01   9.5986665669e-01   0.0000000000e+00
  -9.9444444444e-01   9.2161713391e-02  -3.6674408432e-02   3.6649769672e-02   7.8472595857e-01   6.7619889880e-01  -3.8459253728e-16
  -9.8888888889e-01   3.6356055143e-01  -3.7378137407e-02   3.7352053926e-02   7.8469992593e-01   6.7404806395e-01   0.0000000000e+00
  -9.8333333333e-01   7.9003231523e-01  -3.8783072101e-02   3.8753937606e-02   7.8464647677e-01   6.6730088655e-01   0.0000000000e+00
  -9.7777777778e-01   1.3270184691e+00  -4.0974354679e-02   4.0940002158e-02   7.8455918392e-01   6.5541570241e-01   0.0000000000e+00
  -9.7222222222e-01   1.9128796982e+00  -4.2930780671e-02   4.2891273497e-02   7.8447720291e-01   6.3725491576e-01   1.9229626864e-16
  -9.6666666667e-01   2.4792182557e+00  -4.4083953350e-02   4.4041179378e-02   7.8442709468e-01   6.1222954708e-01   1.9229626864e-16
  -9.6111111111e-01   2.9682690662e+00  -4.4522446325e-02   4.4478384560e-02   7.8440769345e-01   5.8108279190e-01   1.9229626864e-16
  -9.5555555556e-01   3.3412552347e+00  -4.4599059359e-02   4.4554769978e-02   7.8440428402e-01   5.4444226795e-01  -3.8459253728e-16
  -9.5000000000e-01   3.5858502380e+00  -4.4417310731e-02   4.4373560589e-02   7.8441236256e-01   5.0356015371e-01  -3.8459253728e-16
  -9.4444444444e-01   3.7144420765e+00  -4.3561596314e-02   4.3520324023e-02   7.8444995653e-01   4.6092138723e-01  -3.8459253728e-16
  -9.3888888889e-01   3.7504150418e+00  -4.1610456416e-02   4.1574480755e-02   7.8453294750e-01   4.1927155479e-01   0.0000000000e+00
  -9.3333333333e-01   3.7155350929e+00  -3.7928766957e-02   3.7901514676e-02   7.8467921233e-01   3.8027910943e-01   0.0000000000e+00
  -9.2777777778e-01   3.6350981384e+00  -3.1712957922e-02   3.1697023076e-02   7.8489547603e-01   3.4500324436e-01   0.0000000000e+00
  -9.2222222222e-01   3.5322827421e+00  -2.1273275707e-02   2.1268463761e-02   7.8517192139e-01   3.1535649793e-01  -1.9229626864e-16
  -9.1666666667e-01   3.4304025576e+00  -7.2251034920e-03   7.2249149207e-03   7.8537206289e-01   2.9386419545e-01   0.0000000000e+00
  -9.1111111111e-01   3.3513647404e+00   6.2337120337e-03  -6.2335909265e-03   7.8537873404e-01   2.8299221725e-01  -3.8459253728e-16
  -9.0555555556e-01   3.3059030216e+00   1.2705099158e-02  -1.2704073870e-02   7.8531745795e-01   2.8339215137e-01   0.0000000000e+00
  -9.0000000000e-01   3.2878656175e+00   1.0655256906e-02  -1.0654652098e-02   7.8534139834e-01   2.9268037433e-01   0.0000000000e+00
  -8.9444444444e-01   3.2839381590e+00   4.7989110613e-03  -4.7988558015e-03   7.8538664870e-01   3.0725024328e-01   1.9229626864e-16
  -8.8888888889e-01   3.2828903317e+00   2.3957570213e-03  -2.3957501416e-03   7.8539529366e-01   3.2317874901e-01  -3.8459253728e-16
  -8.8333333333e-01   3.2853164667e+00   4.8119940816e-03  -4.8119383814e-03   7.8538658587e-01   3.3785584304e-01   0.0000000000e+00
  -8.7777777778e-01   3.3003135809e+00   7.7673522704e-03  -7.7671179820e-03   7.8536799818e-01   3.5036233941e-01   0.0000000000e+00
  -8.7222222222e-01   3.3372258145e+00   8.3109919183e-03  -8.3107049077e-03   7.8536362800e-01   3.6184356634e-01  -1.9229626864e-16
  -8.6666666667e-01   3.3961870255e+00   6.1742964337e-03  -6.1741787525e-03   7.8537910267e-01   3.7285059140e-01  -3.8459253728e-16
  -8.6111111111e-01   3.4713570386e+00   2.0543412147e-03  -2.0543368824e-03   7.8539605321e-01   3.8381878806e-01  -1.9229626864e-16
  -8.5555555556e-01   3.5545611080e+00  -2.6460113387e-03   2.6460020911e-03   7.8539466282e-01   3.9421206602e-01   0.0000000000e+00
  -8.5000000000e-01   3.6246752246e+00  -5.3531895377e-03   5.3531128425e-03   7.8538383523e-01   4.0212254404e-01  -3.8459253728e-16
  -8.4444444444e-01   3.6704471385e+00  -4.4379879903e-03   4.4379442935e-03   7.8538831567e-01   4.0748889691e-01   0.0000000000e+00
  -8.3888888889e-01   3.6909937916e+00  -5.9883677645e-04   5.9883852219e-04   7.8539798407e-01   4.1074821703e-01   0.0000000000e+00
  -8.3333333333e-01   3.6953168302e+00   3.7693522449e-03  -3.7693254819e-03   7.8539105953e-01   4.1291026998e-01  -5.7688880592e-16
  -8.2777777778e-01   3.6820191643e+00   8.1786268418e-03  -8.1783533293e-03   7.8536471919e-01   4.1275805213e-01   1.9229626864e-16
  -8.2222222222e-01   3.6560108851e+00   1.2944831656e-02  -1.2943747233e-02   7.8531438380e-01   4.0993063704e-01   0.0000000000e+00
  -8.1666666667e-01   3.6252215119e+00   1.7791765503e-02  -1.7788950239e-02   7.8523990661e-01   4.0511675032e-01   4.8074067160e-16
  -8.1111111111e-01   3.5908466254e+00   2.2958491067e-02  -2.2952442904e-02   7.8513466362e-01   3.9836515840e-01   1.9229626864e-16
  -8.0555555556e-01   3.5531444199e+00   2.7337706323e-02  -2.7327496743e-02   7.8502458137e-01   3.8970286911e-01  -3.8459253728e-16
