# time = 100
# Grid points = 195
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_uvel             4_vvel             5_wvel
  -9.9786843373e-01  -1.0000000000e+00   6.8238302042e-01   6.7125223663e-02   6.7125223663e-02
  -9.9464322613e-01  -9.9573686746e-01   1.7204143957e+00   1.6566662293e-01   1.6566662293e-01
  -9.9244663042e-01  -9.9354958481e-01   2.4230454189e+00   2.3044853418e-01   2.3044853418e-01
  -9.9022347489e-01  -9.9134367603e-01   3.1255535530e+00   2.9281761318e-01   2.9281761318e-01
  -9.8795694944e-01  -9.8910327376e-01   3.8283688895e+00   3.5228708625e-01   3.5228708625e-01
  -9.8562767035e-01  -9.8681062513e-01   4.5317387823e+00   4.0826599218e-01   4.0826599218e-01
  -9.8321201928e-01  -9.8444471558e-01   5.2358815201e+00   4.6002190127e-01   4.6002190127e-01
  -9.8067964774e-01  -9.8197932298e-01   5.9411118743e+00   5.0662051481e-01   5.0662051481e-01
  -9.7798930188e-01  -9.7937997249e-01   6.6479593929e+00   5.4682261734e-01   5.4682261734e-01
  -9.7508104559e-01  -9.7659863126e-01   7.3573858145e+00   5.7890435487e-01   5.7890435487e-01
  -9.7186004349e-01  -9.7356345992e-01   8.0712706863e+00   6.0031181434e-01   6.0031181434e-01
  -9.6815781099e-01  -9.7015662706e-01   8.7934539136e+00   6.0690321317e-01   6.0690321317e-01
  -9.6362286445e-01  -9.6615899493e-01   9.5313068941e+00   5.9105018698e-01   5.9105018698e-01
  -9.5743229146e-01  -9.6108673398e-01   1.0282432234e+01   5.3724712187e-01   5.3724712187e-01
  -9.4777343631e-01  -9.5377784893e-01   1.0976128156e+01   4.2400200431e-01   4.2400200431e-01
  -9.3663957942e-01  -9.4176902369e-01   1.1425896671e+01   2.5289252460e-01   2.5289252460e-01
  -9.2638069086e-01  -9.3151013514e-01   1.1735169664e+01   1.0275143002e-01   1.0275143002e-01
  -9.1712592464e-01  -9.2125124659e-01   1.2054922929e+01   2.8019006677e-02   2.8019006677e-02
  -9.0887528074e-01  -9.1300060269e-01   1.2400303994e+01   3.0659386918e-02   3.0659386918e-02
  -9.0020949086e-01  -9.0474995879e-01   1.2782937952e+01   9.1963833543e-02   9.1963833543e-02
  -8.9112855501e-01  -8.9566902294e-01   1.3094135811e+01   1.7850017167e-01   1.7850017167e-01
