# time = 1000
# Grid points = 536
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_uvel             4_vvel             5_wvel
  -9.9844746342e-01  -1.0000000000e+00   2.9343788784e-01  -2.1808320260e-02  -2.1808320260e-02
  -9.9534239025e-01  -9.9689492684e-01   7.9804813122e-01  -5.8808024069e-02  -5.8808024069e-02
  -9.9198365223e-01  -9.9378985367e-01   1.3743978747e+00  -9.9710845079e-02  -9.9710845079e-02
  -9.8838185555e-01  -9.9017745079e-01   1.9993045794e+00  -1.4119019922e-01  -1.4119019922e-01
  -9.8480896186e-01  -9.8658626032e-01   2.6159243139e+00  -1.7782242820e-01  -1.7782242820e-01
  -9.8126970459e-01  -9.8303166340e-01   3.2297746778e+00  -2.0872000819e-01  -2.0872000819e-01
  -9.7775819086e-01  -9.7950774578e-01   3.8436468120e+00  -2.3280637269e-01  -2.3280637269e-01
  -9.7426694966e-01  -9.7600863593e-01   4.4577527750e+00  -2.4886331203e-01  -2.4886331203e-01
  -9.7078343061e-01  -9.7252526339e-01   5.0719196349e+00  -2.5568442176e-01  -2.5568442176e-01
  -9.6728750374e-01  -9.6904159783e-01   5.6861279161e+00  -2.5207109671e-01  -2.5207109671e-01
  -9.6375006535e-01  -9.6553340965e-01   6.3005062377e+00  -2.3677581843e-01  -2.3677581843e-01
  -9.6013042197e-01  -9.6196672106e-01   6.9153393096e+00  -2.0842769745e-01  -2.0842769745e-01
  -9.5637053140e-01  -9.5829412289e-01   7.5311397325e+00  -1.6543323147e-01  -1.6543323147e-01
  -9.5238424340e-01  -9.5444693992e-01   8.1485524611e+00  -1.0585521241e-01  -1.0585521241e-01
  -9.4804639424e-01  -9.5032154688e-01   8.7668857045e+00  -2.7462875550e-02  -2.7462875550e-02
  -9.4321898260e-01  -9.4577124160e-01   9.3793239585e+00   7.1138445184e-02   7.1138445184e-02
  -9.3927026057e-01  -9.4066672360e-01   9.8170004716e+00   1.5794750443e-01   1.5794750443e-01
  -9.3647733449e-01  -9.3787379753e-01   1.0112569354e+01   2.2472050347e-01   2.2472050347e-01
  -9.3359072392e-01  -9.3508087146e-01   1.0430804232e+01   3.0363971477e-01   3.0363971477e-01
  -9.3061042886e-01  -9.3210057639e-01   1.0747683301e+01   3.8797874427e-01   3.8797874427e-01
  -9.2724289169e-01  -9.2912028133e-01   1.1068412079e+01   4.7876957132e-01   4.7876957132e-01
  -9.2348811241e-01  -9.2536550205e-01   1.1382320921e+01   5.7303421096e-01   5.7303421096e-01
  -9.1892500758e-01  -9.2161072277e-01   1.1683764296e+01   6.6661123066e-01   6.6661123066e-01
