# time = 1000
# FINE UNIFORM Grid points = 361
# Pressure (Pa) = 101325
#         1_posUnif              2_Rkk           3_thetaZ           4_thetaY           5_thetaX            6_xmap1            7_xmap2
  -1.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00
  -9.9444444444e-01   1.3066158649e-01  -4.8609105324e-03   4.8608531057e-03   7.8538634932e-01   7.0163472436e-01   0.0000000000e+00
  -9.8888888889e-01   5.1514518537e-01  -4.1517690449e-03   4.1517332762e-03   7.8538954490e-01   7.0034952450e-01   0.0000000000e+00
  -9.8333333333e-01   1.1157120204e+00  -3.5010116762e-03   3.5009902316e-03   7.8539203486e-01   6.9454354102e-01   0.0000000000e+00
  -9.7777777778e-01   1.8622060615e+00  -3.0734197429e-03   3.0734052321e-03   7.8539344043e-01   6.8379351494e-01  -3.8459253728e-16
  -9.7222222222e-01   2.6674871132e+00  -3.0988106794e-03   3.0987958058e-03   7.8539336213e-01   6.6847194512e-01   0.0000000000e+00
  -9.6666666667e-01   3.4454743155e+00  -3.7360480751e-03   3.7360220005e-03   7.8539118442e-01   6.4901860344e-01  -1.9229626864e-16
  -9.6111111111e-01   4.1271200721e+00  -4.7962864312e-03   4.7962312666e-03   7.8538666128e-01   6.2593704114e-01   0.0000000000e+00
  -9.5555555556e-01   4.6718925740e+00  -5.9785206813e-03   5.9784138469e-03   7.8538029225e-01   6.0007923904e-01  -1.9229626864e-16
  -9.5000000000e-01   5.0712198434e+00  -7.1746884924e-03   7.1745038442e-03   7.8537242574e-01   5.7327170549e-01   1.9229626864e-16
  -9.4444444444e-01   5.3399526920e+00  -8.3531822484e-03   8.3528908447e-03   7.8536327646e-01   5.4779781878e-01  -3.8459253728e-16
  -9.3888888889e-01   5.4978831715e+00  -9.2651845857e-03   9.2647869373e-03   7.8535524278e-01   5.2553932702e-01  -3.8459253728e-16
  -9.3333333333e-01   5.5673996693e+00  -9.5139663237e-03   9.5135357776e-03   7.8535290697e-01   5.0750578743e-01   0.0000000000e+00
  -9.2777777778e-01   5.5740654819e+00  -8.8311207192e-03   8.8307763787e-03   7.8535917015e-01   4.9421427821e-01   1.9229626864e-16
  -9.2222222222e-01   5.5434912020e+00  -7.2834874602e-03   7.2832942865e-03   7.8537163925e-01   4.8592971156e-01   0.0000000000e+00
  -9.1666666667e-01   5.5010614359e+00  -5.2039518832e-03   5.2038814218e-03   7.8538462298e-01   4.8280067807e-01   0.0000000000e+00
  -9.1111111111e-01   5.4669982092e+00  -2.7086546639e-03   2.7086447222e-03   7.8539449508e-01   4.8445824704e-01  -3.8459253728e-16
  -9.0555555556e-01   5.4516190403e+00   2.0721906883e-04  -2.0721969406e-04   7.8539814198e-01   4.9008486125e-01  -1.9229626864e-16
  -9.0000000000e-01   5.4553417748e+00   3.3886223761e-03  -3.3886029165e-03   7.8539242203e-01   4.9866690895e-01  -3.8459253728e-16
  -8.9444444444e-01   5.4738169111e+00   6.6252289375e-03  -6.6250835406e-03   7.8537621698e-01   5.0909711276e-01  -3.8459253728e-16
  -8.8888888889e-01   5.5046179910e+00   9.4498599601e-03  -9.4494380597e-03   7.8535351491e-01   5.2052162251e-01   0.0000000000e+00
  -8.8333333333e-01   5.5442386324e+00   1.1548636827e-02  -1.1547866788e-02   7.8533148092e-01   5.3207625914e-01   0.0000000000e+00
  -8.7777777778e-01   5.5893372797e+00   1.2645974919e-02  -1.2644963875e-02   7.8531820739e-01   5.4311018179e-01  -3.8459253728e-16
  -8.7222222222e-01   5.6364572233e+00   1.2705539885e-02  -1.2704514490e-02   7.8531745245e-01   5.5308438822e-01   0.0000000000e+00
  -8.6666666667e-01   5.6814018617e+00   1.2185318139e-02  -1.2184413603e-02   7.8532392613e-01   5.6157572530e-01   1.9229626864e-16
  -8.6111111111e-01   5.7229440624e+00   1.1638674129e-02  -1.1637885939e-02   7.8533043709e-01   5.6845940631e-01   4.8074067160e-16
  -8.5555555556e-01   5.7606070122e+00   1.1283528650e-02  -1.1282810431e-02   7.8533450718e-01   5.7405933976e-01   1.9229626864e-16
  -8.5000000000e-01   5.7953288093e+00   1.0900211412e-02  -1.0899563925e-02   7.8533875851e-01   5.7872558323e-01   0.0000000000e+00
  -8.4444444444e-01   5.8277187970e+00   1.0376165133e-02  -1.0375606616e-02   7.8534433298e-01   5.8278529122e-01   0.0000000000e+00
  -8.3888888889e-01   5.8536763951e+00   9.7132746521e-03  -9.7128164831e-03   7.8535099101e-01   5.8637110721e-01   0.0000000000e+00
  -8.3333333333e-01   5.8690143252e+00   8.9204492173e-03  -8.9200943239e-03   7.8535837735e-01   5.8946151667e-01   0.0000000000e+00
  -8.2777777778e-01   5.8748292995e+00   7.9873356959e-03  -7.9870809301e-03   7.8536626535e-01   5.9243008991e-01   0.0000000000e+00
  -8.2222222222e-01   5.8716788393e+00   6.7801290644e-03  -6.7799732288e-03   7.8537517866e-01   5.9553735669e-01   4.8074067160e-16
  -8.1666666667e-01   5.8632956249e+00   5.3575106911e-03  -5.3574338138e-03   7.8538381210e-01   5.9912197618e-01   3.8459253728e-16
  -8.1111111111e-01   5.8526699562e+00   4.0544018410e-03  -4.0543685184e-03   7.8538994441e-01   6.0323858754e-01   0.0000000000e+00
  -8.0555555556e-01   5.8378227743e+00   3.1125107047e-03  -3.1124956273e-03   7.8539331961e-01   6.0764293522e-01  -1.9229626864e-16
  -8.0000000000e-01   5.8162921419e+00   2.6008695448e-03  -2.6008607537e-03   7.8539478116e-01   6.1205039130e-01  -1.9229626864e-16
  -7.9444444444e-01   5.7894964318e+00   2.5253990603e-03  -2.5253910283e-03   7.8539497461e-01   6.1630864136e-01  -3.8459253728e-16
  -7.8888888889e-01   5.7619848494e+00   2.8949165982e-03  -2.8949044622e-03   7.8539397316e-01   6.2046295654e-01   0.0000000000e+00
  -7.8333333333e-01   5.7382875847e+00   3.6769542178e-03  -3.6769293754e-03   7.8539140344e-01   6.2444328808e-01   0.0000000000e+00
  -7.7777777778e-01   5.7198583325e+00   4.6546371321e-03  -4.6545867126e-03   7.8538733072e-01   6.2807173848e-01   1.9229626864e-16
  -7.7222222222e-01   5.7054479955e+00   5.6763818523e-03  -5.6762904077e-03   7.8538205293e-01   6.3134735056e-01  -1.9229626864e-16
  -7.6666666667e-01   5.6941126107e+00   6.7541302259e-03  -6.7539761837e-03   7.8537535461e-01   6.3443537227e-01   0.0000000000e+00
  -7.6111111111e-01   5.6865946513e+00   7.9800138647e-03  -7.9797597940e-03   7.8536632377e-01   6.3762413536e-01   1.9229626864e-16
  -7.5555555556e-01   5.6839152746e+00   9.0911013148e-03  -9.0907256615e-03   7.8535684058e-01   6.4097166349e-01   1.9229626864e-16
  -7.5000000000e-01   5.6840035284e+00   9.8648870055e-03  -9.8644070459e-03   7.8534950707e-01   6.4448601926e-01   0.0000000000e+00
  -7.4444444444e-01   5.6844449460e+00   1.0333577270e-02  -1.0333025598e-02   7.8534477392e-01   6.4792595169e-01   1.9229626864e-16
  -7.3888888889e-01   5.6841749358e+00   1.0570648744e-02  -1.0570058229e-02   7.8534229619e-01   6.5116338737e-01  -1.9229626864e-16
  -7.3333333333e-01   5.6786842059e+00   1.0577754665e-02  -1.0577162956e-02   7.8534222111e-01   6.5399858344e-01   0.0000000000e+00
