# time = 1000.0
#         1_posUnif        2_uvel_mean        3_uvel_rmsf   4_uvel_rhsfRatio        5_vvel_mean        6_vvel_rmsf   7_vvel_rhsfRatio        8_wvel_mean        9_wvel_rmsf  10_wvel_rhsfRatio             11_Rxx             12_Ryy             13_Rzz             14_Rxy             15_Rxz             16_Ryz
 -1.0000000000E+00   6.6209849668E-22   7.4234121156E-18   0.0000000000E+00   5.8053059243E-23   6.3767587216E-19   0.0000000000E+00   5.8053059243E-23   6.3767587216E-19   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00
 -9.9444444444E-01   9.9556013654E-01   2.6871172374E-01   0.0000000000E+00   1.1029806578E-04   9.0294416513E-02   0.0000000000E+00   1.1029806578E-04   9.0294416513E-02   0.0000000000E+00   7.2210474056E-02   8.1543273179E-03   8.1543273179E-03   1.6791099667E-06   1.6791099667E-06   8.1543273179E-03
 -9.8888888889E-01   1.9787611557E+00   5.3470233059E-01   0.0000000000E+00   2.1577467975E-04   1.7970368824E-01   0.0000000000E+00   2.1577467975E-04   1.7970368824E-01   0.0000000000E+00   2.8593386774E-01   3.2298390378E-02   3.2298390378E-02   8.5190532927E-06   8.5190532927E-06   3.2298390378E-02
 -9.8333333333E-01   2.9446717002E+00   7.9225612570E-01   0.0000000000E+00   3.0799846020E-04   2.6733296756E-01   0.0000000000E+00   3.0799846020E-04   2.6733296756E-01   0.0000000000E+00   6.2772998166E-01   7.1477825211E-02   7.1477825211E-02   2.4717430119E-06   2.4717430119E-06   7.1477825211E-02
 -9.7777777778E-01   3.8824063045E+00   1.0273142256E+00   0.0000000000E+00   3.8402449871E-04   3.5169029933E-01   0.0000000000E+00   3.8402449871E-04   3.5169029933E-01   0.0000000000E+00   1.0554607408E+00   1.2370442162E-01   1.2370442162E-01   3.3153221449E-05   3.3153221449E-05   1.2370442162E-01
 -9.7222222222E-01   4.7804066545E+00   1.2290406994E+00   0.0000000000E+00   4.4887159399E-04   4.3113443074E-01   0.0000000000E+00   4.4887159399E-04   4.3113443074E-01   0.0000000000E+00   1.5106379858E+00   1.8590299103E-01   1.8590299103E-01   2.4705606850E-04   2.4705606850E-04   1.8590299103E-01
 -9.6666666667E-01   5.6296665579E+00   1.3906483492E+00   0.0000000000E+00   5.0542192646E-04   5.0377228370E-01   0.0000000000E+00   5.0542192646E-04   5.0377228370E-01   0.0000000000E+00   1.9340097092E+00   2.5381997490E-01   2.5381997490E-01   7.5517102163E-04   7.5517102163E-04   2.5381997490E-01
 -9.6111111111E-01   6.4227177835E+00   1.5101765001E+00   0.0000000000E+00   5.4677402707E-04   5.6752060338E-01   0.0000000000E+00   5.4677402707E-04   5.6752060338E-01   0.0000000000E+00   2.2807581023E+00   3.2211959162E-01   3.2211959162E-01   1.4986462360E-03   1.4986462360E-03   3.2211959162E-01
 -9.5555555556E-01   7.1547264693E+00   1.5902184620E+00   0.0000000000E+00   5.4877476040E-04   6.2067735476E-01   0.0000000000E+00   5.4877476040E-04   6.2067735476E-01   0.0000000000E+00   2.5289439227E+00   3.8528590711E-01   3.8528590711E-01   2.2576743406E-03   2.2576743406E-03   3.8528590711E-01
 -9.5000000000E-01   7.8234581426E+00   1.6368475427E+00   0.0000000000E+00   5.1085784666E-04   6.6232538239E-01   0.0000000000E+00   5.1085784666E-04   6.6232538239E-01   0.0000000000E+00   2.6794387183E+00   4.3872478104E-01   4.3872478104E-01   2.9319316095E-03   2.9319316095E-03   4.3872478104E-01
 -9.4444444444E-01   8.4289599891E+00   1.6580602046E+00   0.0000000000E+00   4.2324348781E-04   6.9253737966E-01   0.0000000000E+00   4.2324348781E-04   6.9253737966E-01   0.0000000000E+00   2.7493397832E+00   4.7966069324E-01   4.7966069324E-01   3.3414062195E-03   3.3414062195E-03   4.7966069324E-01
 -9.3888888889E-01   8.9728731955E+00   1.6625329288E+00   0.0000000000E+00   2.9716804540E-04   7.1227359708E-01   0.0000000000E+00   2.9716804540E-04   7.1227359708E-01   0.0000000000E+00   2.7641891554E+00   5.0738698982E-01   5.0738698982E-01   3.5071634508E-03   3.5071634508E-03   5.0738698982E-01
 -9.3333333333E-01   9.4581342801E+00   1.6588454192E+00   0.0000000000E+00   1.5581174948E-04   7.2321609286E-01   0.0000000000E+00   1.5581174948E-04   7.2321609286E-01   0.0000000000E+00   2.7519356203E+00   5.2309418409E-01   5.2309418409E-01   3.4762545528E-03   3.4762545528E-03   5.2309418409E-01
 -9.2777777778E-01   9.8884918318E+00   1.6543718684E+00   0.0000000000E+00   1.8615431813E-05   7.2725271371E-01   0.0000000000E+00   1.8615431813E-05   7.2725271371E-01   0.0000000000E+00   2.7371118324E+00   5.2894773026E-01   5.2894773026E-01   3.3517316725E-03   3.3517316725E-03   5.2894773026E-01
