# time = 1000
#  1_posUnif        2_uvel_mean        3_uvel_rmsf
-1.00000E+00  0.00000E+00  0.00000E+00
-9.94444E-01  9.96982E-01  2.67981E-01
-9.88889E-01  1.97884E+00  5.31141E-01
-9.83333E-01  2.94272E+00  7.86570E-01
-9.77778E-01  3.87770E+00  1.02039E+00
-9.72222E-01  4.77345E+00  1.22176E+00
-9.66667E-01  5.62044E+00  1.38299E+00
-9.61111E-01  6.41110E+00  1.50184E+00
-9.55556E-01  7.14056E+00  1.58124E+00
-9.50000E-01  7.80673E+00  1.62773E+00
-9.44444E-01  8.40986E+00  1.64959E+00
-9.38889E-01  8.95171E+00  1.65536E+00
-9.33333E-01  9.43520E+00  1.65335E+00
-9.27778E-01  9.86411E+00  1.65064E+00
-9.22222E-01  1.02429E+01  1.65275E+00
-9.16667E-01  1.05764E+01  1.66292E+00
-9.11111E-01  1.08698E+01  1.68186E+00
-9.05556E-01  1.11284E+01  1.70824E+00
-9.00000E-01  1.13576E+01  1.73933E+00
-8.94444E-01  1.15622E+01  1.77239E+00
-8.88889E-01  1.17466E+01  1.80504E+00
-8.83333E-01  1.19145E+01  1.83539E+00
-8.77778E-01  1.20691E+01  1.86255E+00
-8.72222E-01  1.22128E+01  1.88607E+00
-8.66667E-01  1.23475E+01  1.90616E+00
-8.61111E-01  1.24749E+01  1.92314E+00
-8.55556E-01  1.25962E+01  1.93731E+00
-8.50000E-01  1.27123E+01  1.94890E+00
-8.44444E-01  1.28238E+01  1.95803E+00
-8.38889E-01  1.29313E+01  1.96494E+00
-8.33333E-01  1.30352E+01  1.96973E+00
-8.27778E-01  1.31356E+01  1.97308E+00
-8.22222E-01  1.32328E+01  1.97520E+00
-8.16667E-01  1.33270E+01  1.97631E+00
-8.11111E-01  1.34182E+01  1.97668E+00
-8.05556E-01  1.35067E+01  1.97653E+00
-8.00000E-01  1.35925E+01  1.97591E+00
-7.94444E-01  1.36757E+01  1.97471E+00
-7.88889E-01  1.37565E+01  1.97314E+00
-7.83333E-01  1.38348E+01  1.97148E+00
-7.77778E-01  1.39108E+01  1.96977E+00
-7.72222E-01  1.39846E+01  1.96801E+00
-7.66667E-01  1.40563E+01  1.96629E+00
-7.61111E-01  1.41261E+01  1.96466E+00
-7.55556E-01  1.41941E+01  1.96309E+00
-7.50000E-01  1.42605E+01  1.96167E+00
-7.44444E-01  1.43254E+01  1.96039E+00
-7.38889E-01  1.43889E+01  1.95935E+00
-7.33333E-01  1.44509E+01  1.95864E+00
-7.27778E-01  1.45116E+01  1.95796E+00
-7.22222E-01  1.45710E+01  1.95719E+00
-7.16667E-01  1.46291E+01  1.95642E+00
-7.11111E-01  1.46860E+01  1.95561E+00
-7.05556E-01  1.47420E+01  1.95473E+00
-7.00000E-01  1.47972E+01  1.95360E+00
-6.94444E-01  1.48517E+01  1.95218E+00
-6.88889E-01  1.49056E+01  1.95081E+00
-6.83333E-01  1.49590E+01  1.94978E+00
-6.77778E-01  1.50118E+01  1.94911E+00
-6.72222E-01  1.50643E+01  1.94891E+00
-6.66667E-01  1.51162E+01  1.94908E+00
-6.61111E-01  1.51678E+01  1.94940E+00
-6.55556E-01  1.52190E+01  1.94958E+00
-6.50000E-01  1.52700E+01  1.94953E+00
-6.44444E-01  1.53208E+01  1.94904E+00
-6.38889E-01  1.53714E+01  1.94820E+00
-6.33333E-01  1.54219E+01  1.94716E+00
-6.27778E-01  1.54723E+01  1.94609E+00
-6.22222E-01  1.55227E+01  1.94497E+00
-6.16667E-01  1.55731E+01  1.94368E+00
-6.11111E-01  1.56236E+01  1.94223E+00
-6.05556E-01  1.56742E+01  1.94047E+00
-6.00000E-01  1.57249E+01  1.93825E+00
-5.94444E-01  1.57757E+01  1.93559E+00
-5.88889E-01  1.58266E+01  1.93266E+00
-5.83333E-01  1.58775E+01  1.92937E+00
-5.77778E-01  1.59286E+01  1.92558E+00
-5.72222E-01  1.59799E+01  1.92115E+00
-5.66667E-01  1.60312E+01  1.91599E+00
-5.61111E-01  1.60828E+01  1.91001E+00
-5.55556E-01  1.61346E+01  1.90332E+00
-5.50000E-01  1.61866E+01  1.89606E+00
-5.44444E-01  1.62387E+01  1.88841E+00
-5.38889E-01  1.62907E+01  1.88048E+00
-5.33333E-01  1.63428E+01  1.87240E+00
-5.27778E-01  1.63948E+01  1.86429E+00
-5.22222E-01  1.64467E+01  1.85622E+00
-5.16667E-01  1.64984E+01  1.84830E+00
-5.11111E-01  1.65497E+01  1.84064E+00
-5.05556E-01  1.66008E+01  1.83321E+00
-5.00000E-01  1.66516E+01  1.82595E+00
-4.94444E-01  1.67021E+01  1.81887E+00
-4.88889E-01  1.67523E+01  1.81191E+00
-4.83333E-01  1.68023E+01  1.80512E+00
-4.77778E-01  1.68519E+01  1.79846E+00
-4.72222E-01  1.69012E+01  1.79204E+00
-4.66667E-01  1.69501E+01  1.78595E+00
