# time = 1000.0
# FINE UNIFORM Grid points = 791
# Pressure (Pa) = 101325
#         1_posUnif        2_uvel_mean        3_uvel_rmsf
 -1.0000000000E+00   0.0000000000E+00   0.0000000000E+00
 -9.9746835443E-01   1.0062375099E+00   3.4523465066E-01
 -9.9493670886E-01   1.9984418152E+00   6.7985412635E-01
 -9.9240506329E-01   2.9738677036E+00   9.9773341642E-01
 -9.8987341772E-01   3.9223617996E+00   1.2844349449E+00
 -9.8734177215E-01   4.8329605884E+00   1.5288298793E+00
 -9.8481012658E-01   5.6954630474E+00   1.7251886313E+00
 -9.8227848101E-01   6.5023397213E+00   1.8727006302E+00
 -9.7974683544E-01   7.2485445348E+00   1.9752425471E+00
 -9.7721518987E-01   7.9313178083E+00   2.0393713070E+00
 -9.7468354430E-01   8.5495569131E+00   2.0720090371E+00
 -9.7215189873E-01   9.1044419851E+00   2.0819553155E+00
 -9.6962025316E-01   9.5982172153E+00   2.0772954449E+00
 -9.6708860759E-01   1.0034720348E+01   2.0656389549E+00
 -9.6455696203E-01   1.0418823574E+01   2.0532580691E+00
 -9.6202531646E-01   1.0755993918E+01   2.0444643857E+00
 -9.5949367089E-01   1.1051876008E+01   2.0413184465E+00
 -9.5696202532E-01   1.1312279398E+01   2.0441503283E+00
 -9.5443037975E-01   1.1542765509E+01   2.0521173705E+00
 -9.5189873418E-01   1.1748385076E+01   2.0636466903E+00
 -9.4936708861E-01   1.1933715073E+01   2.0773935463E+00
 -9.4683544304E-01   1.2102481349E+01   2.0920549066E+00
 -9.4430379747E-01   1.2257965784E+01   2.1067717828E+00
 -9.4177215190E-01   1.2402742127E+01   2.1208193285E+00
 -9.3924050633E-01   1.2538854364E+01   2.1337643495E+00
 -9.3670886076E-01   1.2667821997E+01   2.1452078548E+00
 -9.3417721519E-01   1.2790850591E+01   2.1550637841E+00
 -9.3164556962E-01   1.2908812884E+01   2.1635095016E+00
 -9.2911392405E-01   1.3022214591E+01   2.1707482976E+00
 -9.2658227848E-01   1.3131522645E+01   2.1770438547E+00
 -9.2405063291E-01   1.3237137276E+01   2.1824012889E+00
 -9.2151898734E-01   1.3339335405E+01   2.1869228964E+00
 -9.1898734177E-01   1.3438371057E+01   2.1905081983E+00
 -9.1645569620E-01   1.3534423956E+01   2.1932659360E+00
 -9.1392405063E-01   1.3627625818E+01   2.1952212556E+00
 -9.1139240506E-01   1.3718106705E+01   2.1965488075E+00
 -9.0886075949E-01   1.3805998615E+01   2.1973654920E+00
 -9.0632911392E-01   1.3891414085E+01   2.1976788331E+00
 -9.0379746835E-01   1.3974361009E+01   2.1976664506E+00
 -9.0126582278E-01   1.4054957880E+01   2.1973031402E+00
 -8.9873417722E-01   1.4133223572E+01   2.1965988947E+00
 -8.9620253165E-01   1.4209241966E+01   2.1955939677E+00
 -8.9367088608E-01   1.4283069637E+01   2.1943989419E+00
 -8.9113924051E-01   1.4354759504E+01   2.1931452311E+00
 -8.8860759494E-01   1.4424412270E+01   2.1919562920E+00
 -8.8607594937E-01   1.4492106716E+01   2.1907867527E+00
 -8.8354430380E-01   1.4557910389E+01   2.1896184697E+00
 -8.8101265823E-01   1.4621922992E+01   2.1884084119E+00
 -8.7848101266E-01   1.4684223763E+01   2.1873220788E+00
 -8.7594936709E-01   1.4744880739E+01   2.1864476012E+00
 -8.7341772152E-01   1.4803966828E+01   2.1858408720E+00
 -8.7088607595E-01   1.4861594279E+01   2.1854766375E+00
 -8.6835443038E-01   1.4917850766E+01   2.1852480723E+00
 -8.6582278481E-01   1.4972798570E+01   2.1850910849E+00
 -8.6329113924E-01   1.5026485465E+01   2.1850565619E+00
 -8.6075949367E-01   1.5079011238E+01   2.1851364705E+00
 -8.5822784810E-01   1.5130441088E+01   2.1853441791E+00
 -8.5569620253E-01   1.5180864979E+01   2.1855304402E+00
 -8.5316455696E-01   1.5230343290E+01   2.1857383797E+00
 -8.5063291139E-01   1.5278987037E+01   2.1859234950E+00
 -8.4810126582E-01   1.5326847175E+01   2.1860316957E+00
 -8.4556962025E-01   1.5373968345E+01   2.1859633896E+00
 -8.4303797468E-01   1.5420404699E+01   2.1857105072E+00
 -8.4050632911E-01   1.5466169374E+01   2.1852791572E+00
 -8.3797468354E-01   1.5511244130E+01   2.1847829238E+00
 -8.3544303797E-01   1.5555687006E+01   2.1841782163E+00
 -8.3291139241E-01   1.5599528739E+01   2.1834280710E+00
 -8.3037974684E-01   1.5642803558E+01   2.1823951275E+00
 -8.2784810127E-01   1.5685442494E+01   2.1810927891E+00
 -8.2531645570E-01   1.5727505868E+01   2.1795865148E+00
 -8.2278481013E-01   1.5768950565E+01   2.1780822589E+00
 -8.2025316456E-01   1.5809788439E+01   2.1765867130E+00
 -8.1772151899E-01   1.5849984152E+01   2.1751747542E+00
 -8.1518987342E-01   1.5889496676E+01   2.1738876280E+00
 -8.1265822785E-01   1.5928349955E+01   2.1727356371E+00
 -8.1012658228E-01   1.5966525042E+01   2.1717207375E+00
 -8.0759493671E-01   1.6004025996E+01   2.1708449481E+00
 -8.0506329114E-01   1.6040894268E+01   2.1700398767E+00
 -8.0253164557E-01   1.6077157054E+01   2.1693077523E+00
 -8.0000000000E-01   1.6112864453E+01   2.1686407695E+00
 -7.9746835443E-01   1.6148055640E+01   2.1680098676E+00
 -7.9493670886E-01   1.6182763223E+01   2.1674423333E+00
 -7.9240506329E-01   1.6217044905E+01   2.1668613203E+00
 -7.8987341772E-01   1.6250939365E+01   2.1663000090E+00
 -7.8734177215E-01   1.6284504878E+01   2.1656425550E+00
 -7.8481012658E-01   1.6317764599E+01   2.1648189165E+00
 -7.8227848101E-01   1.6350721500E+01   2.1638915083E+00
 -7.7974683544E-01   1.6383375425E+01   2.1628933174E+00
 -7.7721518987E-01   1.6415704484E+01   2.1619307015E+00
 -7.7468354430E-01   1.6447692429E+01   2.1610175133E+00
 -7.7215189873E-01   1.6479297243E+01   2.1602071425E+00
 -7.6962025316E-01   1.6510497840E+01   2.1595425638E+00
 -7.6708860759E-01   1.6541317534E+01   2.1589866661E+00
 -7.6455696203E-01   1.6571784923E+01   2.1585003398E+00
 -7.6202531646E-01   1.6601864326E+01   2.1580125337E+00
 -7.5949367089E-01   1.6631596114E+01   2.1575070846E+00
 -7.5696202532E-01   1.6660995947E+01   2.1570006453E+00
 -7.5443037975E-01   1.6690059066E+01   2.1565408447E+00
 -7.5189873418E-01   1.6718779758E+01   2.1561138540E+00
 -7.4936708861E-01   1.6747204949E+01   2.1556738170E+00
 -7.4683544304E-01   1.6775394072E+01   2.1551774499E+00
 -7.4430379747E-01   1.6803371988E+01   2.1545903845E+00
 -7.4177215190E-01   1.6831126616E+01   2.1538749790E+00
 -7.3924050633E-01   1.6858646423E+01   2.1530323864E+00
 -7.3670886076E-01   1.6885919308E+01   2.1520353212E+00
 -7.3417721519E-01   1.6912966918E+01   2.1509134826E+00
 -7.3164556962E-01   1.6939757817E+01   2.1497299116E+00
 -7.2911392405E-01   1.6966263945E+01   2.1485244042E+00
 -7.2658227848E-01   1.6992533972E+01   2.1472872238E+00
 -7.2405063291E-01   1.7018571595E+01   2.1460153683E+00
 -7.2151898734E-01   1.7044363771E+01   2.1447099052E+00
 -7.1898734177E-01   1.7069892691E+01   2.1434025221E+00
 -7.1645569620E-01   1.7095186877E+01   2.1421121068E+00
 -7.1392405063E-01   1.7120247983E+01   2.1408593153E+00
 -7.1139240506E-01   1.7145097815E+01   2.1396688001E+00
 -7.0886075949E-01   1.7169754706E+01   2.1385128715E+00
 -7.0632911392E-01   1.7194248352E+01   2.1374119151E+00
 -7.0379746835E-01   1.7218585189E+01   2.1363222097E+00
 -7.0126582278E-01   1.7242791914E+01   2.1352262653E+00
 -6.9873417722E-01   1.7266857821E+01   2.1341781323E+00
 -6.9620253165E-01   1.7290762040E+01   2.1332244222E+00
 -6.9367088608E-01   1.7314516486E+01   2.1323099101E+00
 -6.9113924051E-01   1.7338121191E+01   2.1314483732E+00
 -6.8860759494E-01   1.7361616032E+01   2.1306699500E+00
 -6.8607594937E-01   1.7385024962E+01   2.1299397892E+00
 -6.8354430380E-01   1.7408342610E+01   2.1292779375E+00
 -6.8101265823E-01   1.7431542443E+01   2.1287057083E+00
 -6.7848101266E-01   1.7454642153E+01   2.1282253490E+00
 -6.7594936709E-01   1.7477653658E+01   2.1277997187E+00
 -6.7341772152E-01   1.7500603317E+01   2.1273421004E+00
 -6.7088607595E-01   1.7523498151E+01   2.1268285645E+00
 -6.6835443038E-01   1.7546336463E+01   2.1262927965E+00
 -6.6582278481E-01   1.7569116235E+01   2.1257346604E+00
 -6.6329113924E-01   1.7591818632E+01   2.1252420959E+00
 -6.6075949367E-01   1.7614444497E+01   2.1248209884E+00
 -6.5822784810E-01   1.7636930515E+01   2.1245286210E+00
 -6.5569620253E-01   1.7659297120E+01   2.1243370698E+00
 -6.5316455696E-01   1.7681541106E+01   2.1242564234E+00
 -6.5063291139E-01   1.7703682408E+01   2.1242129182E+00
 -6.4810126582E-01   1.7725742099E+01   2.1241061633E+00
 -6.4556962025E-01   1.7747742604E+01   2.1239329239E+00
 -6.4303797468E-01   1.7769691294E+01   2.1236651559E+00
 -6.4050632911E-01   1.7791583261E+01   2.1232930029E+00
 -6.3797468354E-01   1.7813376393E+01   2.1229045711E+00
 -6.3544303797E-01   1.7835079280E+01   2.1225147082E+00
 -6.3291139241E-01   1.7856683747E+01   2.1221293692E+00
 -6.3037974684E-01   1.7878196216E+01   2.1217314103E+00
 -6.2784810127E-01   1.7899603642E+01   2.1213184727E+00
 -6.2531645570E-01   1.7920929045E+01   2.1208803224E+00
 -6.2278481013E-01   1.7942171970E+01   2.1204071654E+00
 -6.2025316456E-01   1.7963321548E+01   2.1199196771E+00
 -6.1772151899E-01   1.7984403139E+01   2.1193776476E+00
 -6.1518987342E-01   1.8005461225E+01   2.1187604509E+00
 -6.1265822785E-01   1.8026446479E+01   2.1181442121E+00
 -6.1012658228E-01   1.8047360065E+01   2.1175447237E+00
 -6.0759493671E-01   1.8068219417E+01   2.1169548634E+00
 -6.0506329114E-01   1.8089051707E+01   2.1163570539E+00
 -6.0253164557E-01   1.8109842270E+01   2.1157657786E+00
 -6.0000000000E-01   1.8130595257E+01   2.1152173208E+00
 -5.9746835443E-01   1.8151328765E+01   2.1147087048E+00
 -5.9493670886E-01   1.8172082873E+01   2.1142281326E+00
 -5.9240506329E-01   1.8192831275E+01   2.1137618248E+00
 -5.8987341772E-01   1.8213602259E+01   2.1132768218E+00
 -5.8734177215E-01   1.8234410631E+01   2.1127472815E+00
 -5.8481012658E-01   1.8255242428E+01   2.1121243921E+00
 -5.8227848101E-01   1.8276096516E+01   2.1114115093E+00
 -5.7974683544E-01   1.8296965302E+01   2.1106160199E+00
 -5.7721518987E-01   1.8317859441E+01   2.1097041627E+00
 -5.7468354430E-01   1.8338773055E+01   2.1087383491E+00
 -5.7215189873E-01   1.8359703132E+01   2.1076963135E+00
 -5.6962025316E-01   1.8380642356E+01   2.1065434647E+00
 -5.6708860759E-01   1.8401584574E+01   2.1052710858E+00
 -5.6455696203E-01   1.8422514925E+01   2.1039072920E+00
 -5.6202531646E-01   1.8443439624E+01   2.1024194021E+00
 -5.5949367089E-01   1.8464381379E+01   2.1008169467E+00
 -5.5696202532E-01   1.8485356129E+01   2.0990760343E+00
 -5.5443037975E-01   1.8506379398E+01   2.0972155398E+00
 -5.5189873418E-01   1.8527433694E+01   2.0952491988E+00
 -5.4936708861E-01   1.8548516650E+01   2.0932089216E+00
 -5.4683544304E-01   1.8569609535E+01   2.0911468497E+00
 -5.4430379747E-01   1.8590725490E+01   2.0891044060E+00
 -5.4177215190E-01   1.8611849136E+01   2.0870845664E+00
 -5.3924050633E-01   1.8632964928E+01   2.0850767557E+00
 -5.3670886076E-01   1.8654078440E+01   2.0830607987E+00
 -5.3417721519E-01   1.8675184751E+01   2.0810373375E+00
 -5.3164556962E-01   1.8696279402E+01   2.0790122431E+00
 -5.2911392405E-01   1.8717362456E+01   2.0769542601E+00
 -5.2658227848E-01   1.8738410166E+01   2.0748757232E+00
 -5.2405063291E-01   1.8759391722E+01   2.0727804011E+00
 -5.2151898734E-01   1.8780323061E+01   2.0706223313E+00
 -5.1898734177E-01   1.8801207670E+01   2.0683947686E+00
 -5.1645569620E-01   1.8822035941E+01   2.0661044843E+00
 -5.1392405063E-01   1.8842792826E+01   2.0637969342E+00
 -5.1139240506E-01   1.8863485045E+01   2.0614549191E+00
 -5.0886075949E-01   1.8884103190E+01   2.0591403128E+00
 -5.0632911392E-01   1.8904630239E+01   2.0568502398E+00
 -5.0379746835E-01   1.8925083844E+01   2.0546001906E+00
 -5.0126582278E-01   1.8945469983E+01   2.0523961841E+00
 -4.9873417722E-01   1.8965792893E+01   2.0502600442E+00
 -4.9620253165E-01   1.8986030957E+01   2.0481953364E+00
 -4.9367088608E-01   1.9006180572E+01   2.0461774258E+00
 -4.9113924051E-01   1.9026238917E+01   2.0442296021E+00
 -4.8860759494E-01   1.9046217536E+01   2.0423284659E+00
 -4.8607594937E-01   1.9066141229E+01   2.0404832971E+00
 -4.8354430380E-01   1.9086009070E+01   2.0387017613E+00
 -4.8101265823E-01   1.9105823517E+01   2.0369774256E+00
 -4.7848101266E-01   1.9125598302E+01   2.0352682665E+00
 -4.7594936709E-01   1.9145342699E+01   2.0335768612E+00
 -4.7341772152E-01   1.9165040187E+01   2.0318933883E+00
 -4.7088607595E-01   1.9184685682E+01   2.0302321412E+00
 -4.6835443038E-01   1.9204299378E+01   2.0285442557E+00
 -4.6582278481E-01   1.9223879503E+01   2.0268261358E+00
 -4.6329113924E-01   1.9243412585E+01   2.0250754228E+00
 -4.6075949367E-01   1.9262901516E+01   2.0232786371E+00
 -4.5822784810E-01   1.9282359739E+01   2.0214155559E+00
 -4.5569620253E-01   1.9301758534E+01   2.0195440397E+00
 -4.5316455696E-01   1.9321099998E+01   2.0176721365E+00
 -4.5063291139E-01   1.9340377028E+01   2.0158378543E+00
 -4.4810126582E-01   1.9359597469E+01   2.0140308819E+00
 -4.4556962025E-01   1.9378749130E+01   2.0122435178E+00
 -4.4303797468E-01   1.9397845391E+01   2.0104687645E+00
 -4.4050632911E-01   1.9416879255E+01   2.0087164522E+00
 -4.3797468354E-01   1.9435848671E+01   2.0069699470E+00
 -4.3544303797E-01   1.9454760994E+01   2.0052113739E+00
 -4.3291139241E-01   1.9473615166E+01   2.0034636105E+00
 -4.3037974684E-01   1.9492426103E+01   2.0017124360E+00
 -4.2784810127E-01   1.9511192614E+01   1.9999962278E+00
 -4.2531645570E-01   1.9529922953E+01   1.9982982085E+00
 -4.2278481013E-01   1.9548615960E+01   1.9966207551E+00
 -4.2025316456E-01   1.9567288225E+01   1.9949417055E+00
 -4.1772151899E-01   1.9585946910E+01   1.9932661434E+00
 -4.1518987342E-01   1.9604577294E+01   1.9915581866E+00
 -4.1265822785E-01   1.9623187943E+01   1.9898139113E+00
 -4.1012658228E-01   1.9641769175E+01   1.9880426846E+00
 -4.0759493671E-01   1.9660313216E+01   1.9862620501E+00
 -4.0506329114E-01   1.9678817194E+01   1.9844612894E+00
 -4.0253164557E-01   1.9697277730E+01   1.9826742621E+00
 -4.0000000000E-01   1.9715667223E+01   1.9809265662E+00
 -3.9746835443E-01   1.9733991454E+01   1.9792074422E+00
 -3.9493670886E-01   1.9752253783E+01   1.9775076721E+00
 -3.9240506329E-01   1.9770443387E+01   1.9758497442E+00
 -3.8987341772E-01   1.9788556231E+01   1.9742353717E+00
 -3.8734177215E-01   1.9806599551E+01   1.9726465723E+00
 -3.8481012658E-01   1.9824578479E+01   1.9710950928E+00
 -3.8227848101E-01   1.9842478991E+01   1.9695819458E+00
 -3.7974683544E-01   1.9860317123E+01   1.9680841462E+00
 -3.7721518987E-01   1.9878083153E+01   1.9666126896E+00
 -3.7468354430E-01   1.9895781386E+01   1.9651464868E+00
 -3.7215189873E-01   1.9913401562E+01   1.9636924042E+00
 -3.6962025316E-01   1.9930952919E+01   1.9622354147E+00
 -3.6708860759E-01   1.9948433193E+01   1.9607852602E+00
 -3.6455696203E-01   1.9965843826E+01   1.9593445185E+00
 -3.6202531646E-01   1.9983173302E+01   1.9579426963E+00
 -3.5949367089E-01   2.0000428520E+01   1.9565764447E+00
 -3.5696202532E-01   2.0017616665E+01   1.9552409695E+00
 -3.5443037975E-01   2.0034749247E+01   1.9539247301E+00
 -3.5189873418E-01   2.0051840596E+01   1.9526028712E+00
 -3.4936708861E-01   2.0068883079E+01   1.9512717384E+00
 -3.4683544304E-01   2.0085885766E+01   1.9499116230E+00
 -3.4430379747E-01   2.0102858456E+01   1.9485266370E+00
 -3.4177215190E-01   2.0119793413E+01   1.9471252453E+00
 -3.3924050633E-01   2.0136686240E+01   1.9457050619E+00
 -3.3670886076E-01   2.0153547222E+01   1.9442536716E+00
 -3.3417721519E-01   2.0170371129E+01   1.9427839925E+00
 -3.3164556962E-01   2.0187164112E+01   1.9412873176E+00
 -3.2911392405E-01   2.0203921785E+01   1.9397567460E+00
 -3.2658227848E-01   2.0220648272E+01   1.9381835291E+00
 -3.2405063291E-01   2.0237326749E+01   1.9365756578E+00
 -3.2151898734E-01   2.0253947587E+01   1.9349423390E+00
 -3.1898734177E-01   2.0270494605E+01   1.9333122998E+00
 -3.1645569620E-01   2.0286986057E+01   1.9316999237E+00
 -3.1392405063E-01   2.0303420665E+01   1.9300949079E+00
