# time = 1000.0
# FINE UNIFORM Grid points = 1181
# Pressure (Pa) = 101325
#         1_posUnif        2_uvel_mean        3_uvel_rmsf   4_uvel_rhsfRatio        5_vvel_mean        6_vvel_rmsf   7_vvel_rhsfRatio        8_wvel_mean        9_wvel_rmsf  10_wvel_rhsfRatio             11_Rxx             12_Ryy             13_Rzz             14_Rxy             15_Rxz             16_Ryz
 -1.0000000000E+00   2.9769420882E-21   1.8545804192E-17   0.0000000000E+00  -2.2553455108E-23   1.8789575735E-18   0.0000000000E+00  -2.2553455108E-23   1.8789575735E-18   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00
 -9.9830508475E-01   1.0094314704E+00   3.6390865560E-01   0.0000000000E+00  -2.6474283061E-06   1.0740434776E-01   0.0000000000E+00  -2.6474283061E-06   1.0740434776E-01   0.0000000000E+00   1.3243628402E-01   1.1536125824E-02   1.1536125824E-02   1.2758215224E-04   1.2758215224E-04   1.1536125824E-02
 -9.9661016949E-01   2.0029974220E+00   7.1266715223E-01   0.0000000000E+00  -3.3905769066E-06   2.1281383965E-01   0.0000000000E+00  -3.3905769066E-06   2.1281383965E-01   0.0000000000E+00   5.0792466494E-01   4.5291340496E-02   4.5291340496E-02   4.6752885987E-04   4.6752885987E-04   4.5291340496E-02
 -9.9491525424E-01   2.9806717621E+00   1.0443160939E+00   0.0000000000E+00  -1.4043463792E-05   3.1594579799E-01   0.0000000000E+00  -1.4043463792E-05   3.1594579799E-01   0.0000000000E+00   1.0906625331E+00   9.9825667327E-02   9.9825667327E-02   9.5843292583E-04   9.5843292583E-04   9.9825667327E-02
 -9.9322033898E-01   3.9322036566E+00   1.3434380132E+00   0.0000000000E+00  -4.0274707278E-05   4.1510008382E-01   0.0000000000E+00  -4.0274707278E-05   4.1510008382E-01   0.0000000000E+00   1.8049343419E+00   1.7231531242E-01   1.7231531242E-01   1.4764000765E-03   1.4764000765E-03   1.7231531242E-01
 -9.9152542373E-01   4.8447318949E+00   1.5989780811E+00   0.0000000000E+00  -8.7333295413E-05   5.0833863658E-01   0.0000000000E+00  -8.7333295413E-05   5.0833863658E-01   0.0000000000E+00   2.5568693296E+00   2.5841963523E-01   2.5841963523E-01   1.8978444806E-03   1.8978444806E-03   2.5841963523E-01
 -9.8983050847E-01   5.7094424067E+00   1.8048271179E+00   0.0000000000E+00  -1.6355893526E-04   5.9388124332E-01   0.0000000000E+00  -1.6355893526E-04   5.9388124332E-01   0.0000000000E+00   3.2575580601E+00   3.5271091204E-01   3.5271091204E-01   2.0828677239E-03   2.0828677239E-03   3.5271091204E-01
 -9.8813559322E-01   6.5186053614E+00   1.9610999476E+00   0.0000000000E+00  -2.7320342730E-04   6.6992555746E-01   0.0000000000E+00  -2.7320342730E-04   6.6992555746E-01   0.0000000000E+00   3.8460816770E+00   4.4882129638E-01   4.4882129638E-01   2.0225462759E-03   2.0225462759E-03   4.4882129638E-01
 -9.8644067797E-01   7.2672451844E+00   2.0709909563E+00   0.0000000000E+00  -4.2747315029E-04   7.3480726310E-01   0.0000000000E+00  -4.2747315029E-04   7.3480726310E-01   0.0000000000E+00   4.2891864179E+00   5.3996784258E-01   5.3996784258E-01   1.5687261434E-03   1.5687261434E-03   5.3996784258E-01
 -9.8474576271E-01   7.9535817419E+00   2.1411346283E+00   0.0000000000E+00  -6.0083851897E-04   7.8759075300E-01   0.0000000000E+00  -6.0083851897E-04   7.8759075300E-01   0.0000000000E+00   4.5846440121E+00   6.2032746375E-01   6.2032746375E-01   8.1089846049E-04   8.1089846049E-04   6.2032746375E-01
