# time = 1000
# Grid points = 547
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_uvel             4_vvel             5_wvel
  -9.9859859485e-01  -1.0000000000e+00   2.3400120548e-01  -1.2978607599e-04  -1.2978607599e-04
  -9.9579578454e-01  -9.9719718969e-01   6.9709024404e-01  -3.4251386199e-04  -3.4251386199e-04
  -9.9240362240e-01  -9.9439437938e-01   1.2472911684e+00  -4.3592908204e-04  -4.3592908204e-04
  -9.8840234774e-01  -9.9041286543e-01   1.8832033357e+00  -7.3693130561e-05  -7.3693130561e-05
  -9.8434926963e-01  -9.8639183005e-01   2.5202167108e+00   1.0058653709e-03   1.0058653709e-03
  -9.8022341466e-01  -9.8230670921e-01   3.1599710153e+00   3.0751694285e-03   3.0751694285e-03
  -9.7600928428e-01  -9.7814012010e-01   3.8010248336e+00   6.4259357324e-03   6.4259357324e-03
  -9.7169036936e-01  -9.7387844846e-01   4.4423791557e+00   1.1367339317e-02   1.1367339317e-02
  -9.6724423347e-01  -9.6950229025e-01   5.0838561914e+00   1.8236158095e-02   1.8236158095e-02
  -9.6264317667e-01  -9.6498617669e-01   5.7255796159e+00   2.7409423591e-02   2.7409423591e-02
  -9.5785641980e-01  -9.6030017665e-01   6.3677810831e+00   3.9321530599e-02   3.9321530599e-02
  -9.5285664151e-01  -9.5541266295e-01   7.0108845303e+00   5.4491827972e-02   5.4491827972e-02
  -9.4763779331e-01  -9.5030062006e-01   7.6559188532e+00   7.3547903049e-02   7.3547903049e-02
  -9.4223851769e-01  -9.4497496656e-01   8.3026504998e+00   9.7030844293e-02   9.7030844293e-02
  -9.3809637933e-01  -9.3950206883e-01   8.7750630211e+00   1.1757659106e-01   1.1757659106e-01
  -9.3528500034e-01  -9.3669068984e-01   9.0864139264e+00   1.3240802033e-01   1.3240802033e-01
  -9.3240881997e-01  -9.3387931085e-01   9.4016292428e+00   1.4877435884e-01   1.4877435884e-01
  -9.2946783822e-01  -9.3093832910e-01   9.7228450201e+00   1.6683206261e-01   1.6683206261e-01
  -9.2643244614e-01  -9.2799734734e-01   1.0048116046e+01   1.8650360306e-01   1.8650360306e-01
  -9.2330264374e-01  -9.2486754494e-01   1.0371621621e+01   2.0760554272e-01   2.0760554272e-01
  -9.2005845515e-01  -9.2173774254e-01   1.0693896354e+01   2.3021213830e-01   2.3021213830e-01
  -9.1669988037e-01  -9.1837916776e-01   1.1013992837e+01   2.5435870970e-01   2.5435870970e-01
  -9.1318661215e-01  -9.1502059298e-01   1.1335228880e+01   2.8026567734e-01   2.8026567734e-01
  -9.0951865050e-01  -9.1135263132e-01   1.1655212700e+01   3.0785738133e-01   3.0785738133e-01
  -9.0564494485e-01  -9.0768466967e-01   1.1977221447e+01   3.3737174017e-01   3.3737174017e-01
  -9.0156549520e-01  -9.0360522002e-01   1.2298211586e+01   3.6864625062e-01   3.6864625062e-01
  -8.9723288608e-01  -8.9952577037e-01   1.2620112092e+01   4.0175097345e-01   4.0175097345e-01
  -8.9264711749e-01  -8.9494000179e-01   1.2939667381e+01   4.3638289109e-01   4.3638289109e-01
  -8.8775427585e-01  -8.9035423320e-01   1.3259600956e+01   4.7260214477e-01   4.7260214477e-01
  -8.8255436115e-01  -8.8515431850e-01   1.3576642012e+01   5.0992848425e-01   5.0992848425e-01
  -8.7854090642e-01  -8.7995440380e-01   1.3810665483e+01   5.3829028233e-01   5.3829028233e-01
  -8.7571391166e-01  -8.7712740904e-01   1.3972408014e+01   5.5811732529e-01   5.5811732529e-01
  -8.7288691690e-01  -8.7430041428e-01   1.4131447555e+01   5.7777446487e-01   5.7777446487e-01
  -8.7005992215e-01  -8.7147341953e-01   1.4287903434e+01   5.9720893754e-01   5.9720893754e-01
  -8.6711750103e-01  -8.6864642477e-01   1.4447877250e+01   6.1711353143e-01   6.1711353143e-01
  -8.6405965356e-01  -8.6558857730e-01   1.4610381678e+01   6.3729292006e-01   6.3729292006e-01
  -8.6100180610e-01  -8.6253072983e-01   1.4768316344e+01   6.5678794918e-01   6.5678794918e-01
  -8.5794395863e-01  -8.5947288236e-01   1.4920617458e+01   6.7539779684e-01   6.7539779684e-01
  -8.5456859350e-01  -8.5641503489e-01   1.5081602382e+01   6.9478209741e-01   6.9478209741e-01
  -8.5087571070e-01  -8.5272215210e-01   1.5248263840e+01   7.1436654544e-01   7.1436654544e-01
  -8.4718282791e-01  -8.4902926930e-01   1.5405813993e+01   7.3229591654e-01   7.3229591654e-01
  -8.4348994511e-01  -8.4533638651e-01   1.5553202142e+01   7.4840337951e-01   7.4840337951e-01
  -8.3915636269e-01  -8.4164350371e-01   1.5712217497e+01   7.6491031385e-01   7.6491031385e-01
  -8.3418208065e-01  -8.3666922167e-01   1.5876678462e+01   7.8049036975e-01   7.8049036975e-01
  -8.2920779861e-01  -8.3169493963e-01   1.6026896015e+01   7.9302591304e-01   7.9302591304e-01
  -8.2423351657e-01  -8.2672065759e-01   1.6166213032e+01   8.0268440970e-01   8.0268440970e-01
  -8.1982591862e-01  -8.2174637555e-01   1.6284699149e+01   8.0887487826e-01   8.0887487826e-01
  -8.1598500477e-01  -8.1790546169e-01   1.6381812795e+01   8.1241318123e-01   8.1241318123e-01
  -8.1214409091e-01  -8.1406454784e-01   1.6470998763e+01   8.1393380906e-01   8.1393380906e-01
  -8.0830317705e-01  -8.1022363398e-01   1.6551658001e+01   8.1335748017e-01   8.1335748017e-01
  -8.0446226319e-01  -8.0638272012e-01   1.6623210503e+01   8.1065409708e-01   8.1065409708e-01
  -8.0062134933e-01  -8.0254180626e-01   1.6684971407e+01   8.0585098388e-01   8.0585098388e-01
  -7.9678043547e-01  -7.9870089240e-01   1.6737121846e+01   7.9896771582e-01   7.9896771582e-01
  -7.9293952161e-01  -7.9485997854e-01   1.6780140254e+01   7.8997834410e-01   7.8997834410e-01
