# time = 1000
# FINE UNIFORM Grid points = 361
# Pressure (Pa) = 101325
#         1_posUnif              2_Rkk           3_thetaZ           4_thetaY           5_thetaX            6_xmap1            7_xmap2
  -1.0000000000e+00   3.2295666454e-03   2.8118283117e-03  -2.8118160485e-03   7.8539421027e-01   9.5413937912e-01   0.0000000000e+00
  -9.9444444444e-01   1.0521933859e-01  -1.2097035117e-02   1.2096150097e-02   7.8532499784e-01   6.5233814866e-01   0.0000000000e+00
  -9.8888888889e-01   4.1482231333e-01  -1.2137150472e-02   1.2136256620e-02   7.8532451188e-01   6.5069168841e-01   0.0000000000e+00
  -9.8333333333e-01   8.9706985151e-01  -1.2092961023e-02   1.2092076899e-02   7.8532504721e-01   6.4329966515e-01   0.0000000000e+00
  -9.7777777778e-01   1.4921879673e+00  -1.1731111056e-02   1.1730303937e-02   7.8532935705e-01   6.2911432738e-01   0.0000000000e+00
  -9.7222222222e-01   2.1264973532e+00  -1.0974322077e-02   1.0973661298e-02   7.8533794805e-01   6.0812936579e-01   0.0000000000e+00
  -9.6666666667e-01   2.7274182856e+00  -1.0185265432e-02   1.0184737178e-02   7.8534629540e-01   5.8060902504e-01   1.9229626864e-16
  -9.6111111111e-01   3.2377320889e+00  -9.7578060800e-03   9.7573415738e-03   7.8535055753e-01   5.4725081695e-01  -3.8459253728e-16
  -9.5555555556e-01   3.6250215088e+00  -9.6777041355e-03   9.6772509753e-03   7.8535133588e-01   5.0907837729e-01   1.9229626864e-16
  -9.5000000000e-01   3.8838482963e+00  -9.8911728980e-03   9.8906890875e-03   7.8534924745e-01   4.6776877983e-01   0.0000000000e+00
  -9.4444444444e-01   4.0293986405e+00  -1.0099327985e-02   1.0098812985e-02   7.8534716699e-01   4.2575096231e-01   1.9229626864e-16
  -9.3888888889e-01   4.0838505826e+00  -9.8939474845e-03   9.8934632708e-03   7.8534921987e-01   3.8547338583e-01   3.8459253728e-16
  -9.3333333333e-01   4.0664824783e+00  -8.6008449330e-03   8.6005268392e-03   7.8536117708e-01   3.4831207634e-01  -5.7688880592e-16
  -9.2777777778e-01   4.0015483722e+00  -6.0689996357e-03   6.0688878682e-03   7.8537974735e-01   3.1539636955e-01   0.0000000000e+00
  -9.2222222222e-01   3.9153635596e+00  -2.9251693389e-03   2.9251568433e-03   7.8539388519e-01   2.8822873110e-01   0.0000000000e+00
  -9.1666666667e-01   3.8290266399e+00  -4.8843334774e-04   4.8843479058e-04   7.8539804411e-01   2.6849463997e-01   0.0000000000e+00
  -9.1111111111e-01   3.7581436565e+00   2.6134405187e-06  -2.6134484404e-06   7.8539816343e-01   2.5752232131e-01  -3.8459253728e-16
  -9.0555555556e-01   3.7088932738e+00  -1.4282913040e-03   1.4282946915e-03   7.8539714344e-01   2.5509126594e-01   0.0000000000e+00
  -9.0000000000e-01   3.6792753497e+00  -3.2311083793e-03   3.2310915107e-03   7.8539294343e-01   2.5953044744e-01   0.0000000000e+00
  -8.9444444444e-01   3.6652348697e+00  -4.0823529516e-03   4.0823189428e-03   7.8538983063e-01   2.6853061075e-01   0.0000000000e+00
  -8.8888888889e-01   3.6612405006e+00  -3.3989129660e-03   3.3988933373e-03   7.8539238713e-01   2.7967704252e-01   1.9229626864e-16
  -8.8333333333e-01   3.6651288063e+00  -1.4602681222e-03   1.4602715420e-03   7.8539709720e-01   2.9149403309e-01   0.0000000000e+00
  -8.7777777778e-01   3.6779357899e+00   9.8743560072e-04  -9.8743828258e-04   7.8539767597e-01   3.0346653183e-01   0.0000000000e+00
  -8.7222222222e-01   3.7000706560e+00   3.9810805232e-03  -3.9810489822e-03   7.8539023892e-01   3.1546774772e-01   0.0000000000e+00
  -8.6666666667e-01   3.7286834105e+00   7.2905622280e-03  -7.2903684819e-03   7.8537158773e-01   3.2723032599e-01  -3.8459253728e-16
  -8.6111111111e-01   3.7591324410e+00   9.8288352346e-03  -9.8283605134e-03   7.8534986202e-01   3.3836486229e-01  -3.8459253728e-16
  -8.5555555556e-01   3.7880506768e+00   1.0600345944e-02  -1.0599750438e-02   7.8534198188e-01   3.4855428137e-01  -3.8459253728e-16
  -8.5000000000e-01   3.8110190815e+00   9.6589164121e-03  -9.6584658864e-03   7.8535151751e-01   3.5739083877e-01   0.0000000000e+00
  -8.4444444444e-01   3.8207835558e+00   7.5028785486e-03  -7.5026673776e-03   7.8537001734e-01   3.6404213777e-01   1.9229626864e-16
  -8.3888888889e-01   3.8136700644e+00   4.6384240513e-03  -4.6383741531e-03   7.8538740600e-01   3.6821088507e-01   0.0000000000e+00
  -8.3333333333e-01   3.7918589516e+00   1.4652165135e-03  -1.4652199381e-03   7.8539709000e-01   3.7058174345e-01   1.9229626864e-16
  -8.2777777778e-01   3.7610466774e+00  -1.5578761952e-03   1.5578796953e-03   7.8539694990e-01   3.7209610473e-01  -1.9229626864e-16
  -8.2222222222e-01   3.7296434705e+00  -3.9008031327e-03   3.9007734609e-03   7.8539055534e-01   3.7375102091e-01   0.0000000000e+00
  -8.1666666667e-01   3.7041003233e+00  -5.2020330729e-03   5.2019626914e-03   7.8538463295e-01   3.7622779638e-01   1.9229626864e-16
  -8.1111111111e-01   3.6875466029e+00  -5.6268575956e-03   5.6267685296e-03   7.8538233290e-01   3.7970740145e-01   0.0000000000e+00
  -8.0555555556e-01   3.6794166674e+00  -5.9400400878e-03   5.9399353050e-03   7.8538052154e-01   3.8396934788e-01   0.0000000000e+00
  -8.0000000000e-01   3.6764250702e+00  -6.5564120604e-03   6.5562711548e-03   7.8537667048e-01   3.8849663851e-01   0.0000000000e+00
  -7.9444444444e-01   3.6755997305e+00  -7.4515620442e-03   7.4513551777e-03   7.8537040104e-01   3.9305344207e-01   1.9229626864e-16
  -7.8888888889e-01   3.6727986377e+00  -8.3708721888e-03   8.3705789334e-03   7.8536312850e-01   3.9736646884e-01   0.0000000000e+00
  -7.8333333333e-01   3.6656548116e+00  -9.3313460531e-03   9.3309398281e-03   7.8535462764e-01   4.0120121535e-01   0.0000000000e+00
